"PMID","Study_Type","n_applicable","n_rep_gaps","n_val_flags","error_weighted","transparency","validity","validity_weighted","domains_flagged","ack_flagged","ack_named","acknowledgement"
"STUDY-0878","Causal",15,2,7,6.1666667,0.866666666666667,0.461538461538462,0.525641023076923,3,3,3,1
"STUDY-0880","Causal",12,3,3,2.3333333,0.75,0.666666666666667,0.740740744444444,2,2,1,0.5
"STUDY-0887","Causal",13,2,7,6.5,0.846153846153846,0.363636363636364,0.409090909090909,3,3,2,0.666666666666667
"STUDY-0899","Causal",16,2,9,9,0.875,0.357142857142857,0.357142857142857,4,4,0,0
"STUDY-0902","Descriptive",7,2,3,3,0.714285714285714,0.4,0.4,2,1,0,0
"STUDY-0905","Descriptive",10,0,6,5.5,1,0.4,0.45,5,4,1,0.25
"STUDY-0906","Causal",13,2,5,4.6666667,0.846153846153846,0.545454545454545,0.575757572727273,2,2,1,0.5
"STUDY-0911","Causal",16,2,5,5,0.875,0.642857142857143,0.642857142857143,4,4,0,0
"STUDY-0914","Descriptive",5,0,2,2,1,0.6,0.6,2,1,1,1
"STUDY-0919","Causal",15,5,7,6.6666667,0.666666666666667,0.3,0.33333333,3,3,0,0
"STUDY-0922","Causal",13,4,4,4,0.692307692307692,0.555555555555556,0.555555555555556,3,3,2,0.666666666666667
"STUDY-0923","Causal",15,2,6,5.6666667,0.866666666666667,0.538461538461538,0.564102561538461,3,3,2,0.666666666666667
"STUDY-0924","Descriptive",9,0,3,2.5,1,0.666666666666667,0.722222222222222,2,2,2,1
"STUDY-0927","Causal",16,1,9,8,0.9375,0.4,0.466666666666667,3,3,2,0.666666666666667
"STUDY-0928","Descriptive",9,1,4,3.5,0.888888888888889,0.5,0.5625,3,2,0,0
"STUDY-0930","Causal",16,2,7,7,0.875,0.5,0.5,4,4,2,0.5
"STUDY-0932","Causal",15,2,8,7.5,0.866666666666667,0.384615384615385,0.423076923076923,4,4,3,0.75
"STUDY-0933","Causal",14,2,7,6.1666667,0.857142857142857,0.416666666666667,0.486111108333333,3,3,1,0.333333333333333
"STUDY-0940","Causal",15,1,7,6.5,0.933333333333333,0.5,0.535714285714286,3,3,1,0.333333333333333
"STUDY-0942","Causal",16,2,6,5.1666667,0.875,0.571428571428571,0.630952378571429,4,4,1,0.25
"STUDY-0943","Descriptive",7,2,3,3,0.714285714285714,0.4,0.4,2,2,2,1
"STUDY-0944","Descriptive",7,2,4,3.5,0.714285714285714,0.2,0.3,3,2,0,0
"STUDY-0945","Causal",15,1,7,6.3333333,0.933333333333333,0.5,0.54761905,4,4,1,0.25
"STUDY-0947","Descriptive",7,2,2,2,0.714285714285714,0.6,0.6,2,2,0,0
"STUDY-0952","Descriptive",9,1,4,3.5,0.888888888888889,0.5,0.5625,3,2,1,0.5
"STUDY-0961","Causal",14,2,7,6.5,0.857142857142857,0.416666666666667,0.458333333333333,3,3,1,0.333333333333333
"STUDY-0963","Causal",14,4,4,4,0.714285714285714,0.6,0.6,2,2,0,0
"STUDY-0968","Causal",14,1,5,4.6666667,0.928571428571429,0.615384615384615,0.641025638461538,3,3,2,0.666666666666667
"STUDY-0970","Descriptive",8,1,4,3.5,0.875,0.428571428571429,0.5,3,3,1,0.333333333333333
"STUDY-0972","Causal",15,3,7,6.6666667,0.8,0.416666666666667,0.444444441666667,4,4,2,0.5
"STUDY-0974","Descriptive",6,1,2,2,0.833333333333333,0.6,0.6,2,1,0,0
"STUDY-0976","Causal",14,2,8,7.5,0.857142857142857,0.333333333333333,0.375,4,4,1,0.25
"STUDY-0977","Causal",14,5,6,5.5,0.642857142857143,0.333333333333333,0.388888888888889,3,3,0,0
"STUDY-0978","Causal",13,2,6,5.5,0.846153846153846,0.454545454545455,0.5,3,3,1,0.333333333333333
"STUDY-0981","Causal",15,2,6,5.1666667,0.866666666666667,0.538461538461538,0.6025641,4,4,4,1
"STUDY-0986","Causal",14,2,9,8,0.857142857142857,0.25,0.333333333333333,3,3,1,0.333333333333333
"STUDY-0988","Causal",15,4,7,6.5,0.733333333333333,0.363636363636364,0.409090909090909,3,3,0,0
"STUDY-0991","Causal",16,2,9,8.5,0.875,0.357142857142857,0.392857142857143,4,4,0,0
"STUDY-0994","Causal",15,2,4,3.1666667,0.866666666666667,0.692307692307692,0.756410253846154,2,2,2,1
"STUDY-0995","Causal",12,3,3,2.6666667,0.75,0.666666666666667,0.7037037,2,2,1,0.5
"STUDY-1001","Causal",14,3,6,5.1666667,0.785714285714286,0.454545454545455,0.530303027272727,3,3,0,0
"STUDY-1003","Descriptive",7,2,4,3.5,0.714285714285714,0.2,0.3,3,2,0,0
"STUDY-1007","Descriptive",7,2,3,2.5,0.714285714285714,0.4,0.5,2,2,1,0.5
"STUDY-1013","Causal",18,1,12,11,0.944444444444444,0.294117647058823,0.352941176470588,5,5,2,0.4
"STUDY-1016","Descriptive",6,1,2,1.5,0.833333333333333,0.6,0.7,1,1,1,1
"STUDY-1021","Descriptive",9,0,5,5,1,0.444444444444444,0.444444444444444,4,3,1,0.333333333333333
"STUDY-1022","Causal",14,2,4,4,0.857142857142857,0.666666666666667,0.666666666666667,1,1,0,0
"STUDY-1026","Descriptive",6,2,2,2,0.666666666666667,0.5,0.5,1,1,0,0
