"PMID","domain","Study_Type","state"
"STUDY-0299","Selection bias","Causal","VAL"
"STUDY-0580","Selection bias","Descriptive","VAL"
"STUDY-0425","Selection bias","Causal","VAL"
"STUDY-0783","Selection bias","Causal","OK"
"STUDY-0466","Selection bias","Causal","VAL"
"STUDY-0380","Selection bias","Causal","OK"
"STUDY-0196","Selection bias","Causal","VAL"
"STUDY-0437","Selection bias","Causal","REP"
"STUDY-0566","Selection bias","Causal","VAL"
"STUDY-0928","Selection bias","Descriptive","VAL"
"STUDY-0202","Selection bias","Causal","VAL"
"STUDY-0019","Selection bias","Causal","VAL"
"STUDY-0100","Selection bias","Causal","VAL"
"STUDY-0400","Measurement bias","Causal","VAL"
"STUDY-1007","Measurement bias","Descriptive","VAL"
"STUDY-0995","Measurement bias","Causal","VAL"
"STUDY-0405","Measurement bias","Causal","VAL"
"STUDY-0531","Measurement bias","Descriptive","VAL"
"STUDY-0106","Measurement bias","Descriptive","VAL"
"STUDY-0527","Measurement bias","Causal","VAL"
"STUDY-0436","Measurement bias","Causal","VAL"
"STUDY-0427","Measurement bias","Causal","VAL"
"STUDY-0172","Measurement bias","Causal","VAL"
"STUDY-0177","Measurement bias","Descriptive","VAL"
"STUDY-0393","Measurement bias","Descriptive","VAL"
"STUDY-0774","Measurement bias","Causal","VAL"
"STUDY-0880","Measurement bias","Causal","VAL"
"STUDY-0914","Measurement bias","Descriptive","VAL"
"STUDY-0104","Measurement bias","Causal","VAL"
"STUDY-0537","Measurement bias","Descriptive","VAL"
"STUDY-0658","Measurement bias","Causal","VAL"
"STUDY-0737","Measurement bias","Descriptive","VAL"
"STUDY-0220","Measurement bias","Causal","VAL"
"STUDY-0994","Measurement bias","Causal","VAL"
"STUDY-0499","Measurement bias","Causal","VAL"
"STUDY-0350","Measurement bias","Descriptive","VAL"
"STUDY-0354","Measurement bias","Descriptive","VAL"
"STUDY-0839","Measurement bias","Causal","VAL"
"STUDY-0750","Measurement bias","Causal","VAL"
"STUDY-0259","Measurement bias","Causal","VAL"
"STUDY-0431","Measurement bias","Causal","VAL"
"STUDY-0821","Measurement bias","Descriptive","VAL"
"STUDY-1022","Measurement bias","Causal","VAL"
"STUDY-0145","Measurement bias","Descriptive","VAL"
"STUDY-0385","Measurement bias","Causal","VAL"
"STUDY-0397","Measurement bias","Descriptive","VAL"
"STUDY-0532","Measurement bias","Causal","VAL"
"STUDY-0284","Measurement bias","Descriptive","VAL"
"STUDY-0970","Measurement bias","Descriptive","VAL"
"STUDY-0304","Measurement bias","Causal","VAL"
"STUDY-0487","Measurement bias","Descriptive","VAL"
"STUDY-0362","Measurement bias","Causal","VAL"
"STUDY-0731","Measurement bias","Descriptive","VAL"
"STUDY-0322","Measurement bias","Causal","VAL"
"STUDY-0159","Measurement bias","Causal","VAL"
"STUDY-0419","Measurement bias","Causal","VAL"
"STUDY-0333","Measurement bias","Descriptive","VAL"
"STUDY-0046","Measurement bias","Causal","VAL"
"STUDY-0355","Measurement bias","Causal","VAL"
"STUDY-0845","Measurement bias","Causal","VAL"
"STUDY-0555","Measurement bias","Causal","VAL"
"STUDY-0945","Measurement bias","Causal","VAL"
"STUDY-0365","Measurement bias","Causal","VAL"
"STUDY-0023","Measurement bias","Causal","VAL"
"STUDY-0817","Measurement bias","Causal","VAL"
"STUDY-0170","Measurement bias","Causal","VAL"
"STUDY-0442","Measurement bias","Causal","VAL"
"STUDY-0026","Measurement bias","Causal","VAL"
"STUDY-0048","Measurement bias","Causal","VAL"
"STUDY-0326","Measurement bias","Causal","VAL"
"STUDY-0144","Measurement bias","Causal","VAL"
"STUDY-0045","Measurement bias","Descriptive","VAL"
"STUDY-0234","Measurement bias","Descriptive","VAL"
"STUDY-0788","Measurement bias","Causal","VAL"
"STUDY-0521","Measurement bias","Causal","VAL"
"STUDY-0192","Measurement bias","Causal","VAL"
"STUDY-0049","Measurement bias","Causal","VAL"
"STUDY-0012","Measurement bias","Descriptive","VAL"
"STUDY-0141","Measurement bias","Causal","VAL"
"STUDY-0671","Measurement bias","Causal","VAL"
"STUDY-0924","Measurement bias","Descriptive","VAL"
"STUDY-0182","Measurement bias","Causal","VAL"
"STUDY-0597","Measurement bias","Causal","VAL"
"STUDY-0149","Measurement bias","Causal","VAL"
"STUDY-0256","Measurement bias","Causal","VAL"
"STUDY-0157","Measurement bias","Causal","VAL"
"STUDY-0972","Measurement bias","Causal","VAL"
"STUDY-0766","Measurement bias","Descriptive","VAL"
"STUDY-0257","Measurement bias","Causal","VAL"
"STUDY-0819","Measurement bias","Causal","VAL"
"STUDY-0611","Measurement bias","Causal","VAL"
"STUDY-0942","Measurement bias","Causal","VAL"
"STUDY-0492","Measurement bias","Descriptive","VAL"
"STUDY-0739","Measurement bias","Causal","VAL"
"STUDY-0306","Measurement bias","Causal","VAL"
"STUDY-0112","Measurement bias","Causal","VAL"
"STUDY-0613","Measurement bias","Causal","VAL"
"STUDY-0522","Measurement bias","Causal","VAL"
"STUDY-0792","Measurement bias","Causal","VAL"
"STUDY-0248","Measurement bias","Causal","VAL"
"STUDY-0189","Measurement bias","Causal","VAL"
"STUDY-0701","Measurement bias","Descriptive","VAL"
"STUDY-0040","Measurement bias","Causal","VAL"
"STUDY-0402","Measurement bias","Descriptive","OK"
"STUDY-0977","Measurement bias","Causal","VAL"
"STUDY-0429","Measurement bias","Causal","VAL"
"STUDY-0589","Measurement bias","Causal","VAL"
"STUDY-0933","Measurement bias","Causal","VAL"
"STUDY-0330","Measurement bias","Causal","VAL"
"STUDY-0922","Measurement bias","Causal","VAL"
"STUDY-0600","Measurement bias","Causal","VAL"
"STUDY-0119","Measurement bias","Causal","VAL"
"STUDY-0251","Measurement bias","Causal","VAL"
"STUDY-0932","Measurement bias","Causal","VAL"
"STUDY-0749","Measurement bias","Descriptive","VAL"
"STUDY-0517","Measurement bias","Causal","VAL"
"STUDY-0210","Measurement bias","Descriptive","VAL"
"STUDY-0923","Measurement bias","Causal","VAL"
"STUDY-0214","Measurement bias","Causal","VAL"
"STUDY-0565","Measurement bias","Causal","VAL"
"STUDY-0899","Measurement bias","Causal","VAL"
"STUDY-0094","Measurement bias","Causal","VAL"
"STUDY-0809","Measurement bias","Causal","VAL"
"STUDY-0793","Measurement bias","Causal","VAL"
"STUDY-0387","Measurement bias","Descriptive","VAL"
"STUDY-0700","Measurement bias","Causal","VAL"
"STUDY-0805","Measurement bias","Causal","VAL"
"STUDY-0780","Measurement bias","Causal","VAL"
"STUDY-0184","Measurement bias","Causal","VAL"
"STUDY-0205","Measurement bias","Causal","VAL"
"STUDY-0740","Measurement bias","Causal","VAL"
"STUDY-0930","Measurement bias","Causal","VAL"
"STUDY-1026","Measurement bias","Descriptive","VAL"
"STUDY-0649","Measurement bias","Causal","VAL"
"STUDY-0133","Measurement bias","Causal","VAL"
"STUDY-0542","Measurement bias","Causal","VAL"
"STUDY-0337","Measurement bias","Causal","VAL"
"STUDY-0702","Measurement bias","Descriptive","VAL"
"STUDY-0541","Measurement bias","Descriptive","VAL"
"STUDY-0840","Measurement bias","Causal","VAL"
"STUDY-0447","Measurement bias","Causal","VAL"
"STUDY-0634","Measurement bias","Descriptive","VAL"
"STUDY-0037","Measurement bias","Causal","VAL"
"STUDY-1021","Measurement bias","Descriptive","VAL"
"STUDY-0268","Measurement bias","Causal","VAL"
"STUDY-0943","Measurement bias","Descriptive","VAL"
"STUDY-0760","Measurement bias","Descriptive","VAL"
"STUDY-0549","Measurement bias","Causal","VAL"
"STUDY-0161","Measurement bias","Causal","VAL"
"STUDY-0064","Measurement bias","Causal","VAL"
"STUDY-0952","Measurement bias","Descriptive","VAL"
"STUDY-0471","Measurement bias","Causal","VAL"
"STUDY-0135","Measurement bias","Causal","VAL"
"STUDY-0963","Measurement bias","Causal","VAL"
"STUDY-0494","Measurement bias","Causal","VAL"
"STUDY-0577","Measurement bias","Causal","VAL"
"STUDY-0598","Measurement bias","Causal","VAL"
"STUDY-0093","Measurement bias","Causal","VAL"
"STUDY-0006","Measurement bias","Causal","VAL"
"STUDY-0698","Measurement bias","Causal","VAL"
"STUDY-0603","Measurement bias","Causal","VAL"
"STUDY-1001","Measurement bias","Causal","VAL"
"STUDY-0423","Measurement bias","Causal","VAL"
"STUDY-0086","Measurement bias","Descriptive","VAL"
"STUDY-0207","Measurement bias","Causal","VAL"
"STUDY-0109","Measurement bias","Causal","VAL"
"STUDY-1016","Measurement bias","Descriptive","VAL"
"STUDY-0473","Measurement bias","Descriptive","VAL"
"STUDY-0295","Measurement bias","Causal","VAL"
"STUDY-0516","Measurement bias","Causal","VAL"
"STUDY-0803","Measurement bias","Descriptive","VAL"
"STUDY-0307","Measurement bias","Causal","VAL"
"STUDY-0560","Measurement bias","Descriptive","VAL"
"STUDY-0132","Measurement bias","Causal","VAL"
"STUDY-0852","Measurement bias","Causal","VAL"
"STUDY-0231","Measurement bias","Causal","VAL"
"STUDY-0595","Measurement bias","Causal","VAL"
"STUDY-0834","Measurement bias","Causal","VAL"
"STUDY-0865","Measurement bias","Descriptive","VAL"
"STUDY-0339","Measurement bias","Descriptive","VAL"
"STUDY-0773","Measurement bias","Descriptive","VAL"
"STUDY-0744","Measurement bias","Causal","VAL"
"STUDY-0475","Measurement bias","Causal","VAL"
"STUDY-0853","Measurement bias","Causal","VAL"
"STUDY-0403","Measurement bias","Causal","VAL"
"STUDY-0628","Measurement bias","Causal","VAL"
"STUDY-0653","Measurement bias","Causal","VAL"
"STUDY-0005","Measurement bias","Causal","VAL"
"STUDY-0162","Measurement bias","Causal","VAL"
"STUDY-0728","Measurement bias","Causal","VAL"
"STUDY-0590","Measurement bias","Causal","VAL"
"STUDY-0440","Measurement bias","Descriptive","VAL"
"STUDY-0450","Measurement bias","Causal","VAL"
"STUDY-0416","Measurement bias","Causal","VAL"
"STUDY-0557","Measurement bias","Causal","VAL"
"STUDY-0352","Measurement bias","Causal","VAL"
"STUDY-0468","Measurement bias","Descriptive","VAL"
"STUDY-0665","Measurement bias","Causal","VAL"
"STUDY-0988","Measurement bias","Causal","VAL"
"STUDY-0252","Measurement bias","Causal","VAL"
"STUDY-0986","Measurement bias","Causal","VAL"
"STUDY-0781","Measurement bias","Causal","VAL"
"STUDY-0360","Measurement bias","Causal","VAL"
"STUDY-1003","Measurement bias","Descriptive","VAL"
"STUDY-0062","Measurement bias","Causal","VAL"
"STUDY-0630","Measurement bias","Causal","VAL"
"STUDY-0335","Measurement bias","Causal","VAL"
"STUDY-0096","Measurement bias","Causal","VAL"
"STUDY-0778","Measurement bias","Descriptive","VAL"
"STUDY-0878","Measurement bias","Causal","VAL"
"STUDY-0864","Measurement bias","Descriptive","VAL"
"STUDY-0902","Measurement bias","Descriptive","VAL"
"STUDY-0345","Measurement bias","Descriptive","VAL"
"STUDY-0472","Measurement bias","Descriptive","VAL"
"STUDY-0331","Measurement bias","Causal","VAL"
"STUDY-0476","Measurement bias","Causal","VAL"
"STUDY-1013","Measurement bias","Causal","VAL"
"STUDY-0194","Measurement bias","Descriptive","VAL"
"STUDY-0736","Measurement bias","Causal","VAL"
"STUDY-0647","Measurement bias","Causal","VAL"
"STUDY-0978","Measurement bias","Causal","VAL"
"STUDY-0188","Measurement bias","Causal","VAL"
"STUDY-0940","Measurement bias","Causal","VAL"
"STUDY-0605","Measurement bias","Causal","VAL"
"STUDY-0084","Measurement bias","Causal","VAL"
"STUDY-0415","Measurement bias","Causal","VAL"
"STUDY-0426","Measurement bias","Causal","VAL"
"STUDY-0824","Measurement bias","Descriptive","VAL"
"STUDY-0974","Measurement bias","Descriptive","VAL"
"STUDY-0679","Measurement bias","Causal","VAL"
"STUDY-0115","Measurement bias","Causal","VAL"
"STUDY-0764","Measurement bias","Causal","VAL"
"STUDY-0677","Measurement bias","Causal","VAL"
"STUDY-0320","Measurement bias","Causal","VAL"
"STUDY-0280","Measurement bias","Descriptive","VAL"
"STUDY-0434","Measurement bias","Causal","VAL"
"STUDY-0237","Measurement bias","Causal","VAL"
"STUDY-0329","Measurement bias","Causal","VAL"
"STUDY-0561","Measurement bias","Causal","VAL"
"STUDY-0130","Measurement bias","Descriptive","VAL"
"STUDY-0083","Measurement bias","Causal","VAL"
"STUDY-0633","Measurement bias","Causal","VAL"
"STUDY-0876","Measurement bias","Causal","VAL"
"STUDY-0669","Measurement bias","Causal","VAL"
"STUDY-0074","Measurement bias","Descriptive","VAL"
"STUDY-0055","Measurement bias","Descriptive","VAL"
"STUDY-0722","Measurement bias","Descriptive","VAL"
"STUDY-0947","Measurement bias","Descriptive","VAL"
"STUDY-0245","Measurement bias","Descriptive","VAL"
"STUDY-0379","Measurement bias","Causal","VAL"
"STUDY-0887","Measurement bias","Causal","VAL"
"STUDY-0695","Measurement bias","Causal","VAL"
"STUDY-0762","Measurement bias","Causal","VAL"
"STUDY-0823","Measurement bias","Causal","VAL"
"STUDY-0536","Measurement bias","Causal","VAL"
"STUDY-0650","Measurement bias","Causal","VAL"
"STUDY-0273","Measurement bias","Causal","VAL"
"STUDY-0961","Measurement bias","Causal","VAL"
"STUDY-0609","Measurement bias","Causal","VAL"
"STUDY-0976","Measurement bias","Causal","VAL"
"STUDY-0282","Measurement bias","Causal","VAL"
"STUDY-0867","Measurement bias","Descriptive","VAL"
"STUDY-0794","Measurement bias","Descriptive","VAL"
"STUDY-0829","Measurement bias","Causal","VAL"
"STUDY-0875","Measurement bias","Descriptive","VAL"
"STUDY-0443","Measurement bias","Causal","VAL"
"STUDY-0269","Measurement bias","Causal","VAL"
"STUDY-0241","Measurement bias","Causal","VAL"
"STUDY-0336","Measurement bias","Causal","VAL"
"STUDY-0812","Measurement bias","Causal","VAL"
"STUDY-0567","Measurement bias","Causal","VAL"
"STUDY-0232","Measurement bias","Descriptive","VAL"
"STUDY-0648","Measurement bias","Descriptive","VAL"
"STUDY-0656","Measurement bias","Causal","VAL"
"STUDY-0185","Measurement bias","Descriptive","VAL"
"STUDY-0991","Measurement bias","Causal","VAL"
"STUDY-0047","Measurement bias","Descriptive","VAL"
"STUDY-0186","Measurement bias","Descriptive","VAL"
"STUDY-0713","Measurement bias","Causal","VAL"
"STUDY-0710","Measurement bias","Causal","VAL"
"STUDY-0520","Measurement bias","Descriptive","VAL"
"STUDY-0156","Measurement bias","Descriptive","VAL"
"STUDY-0944","Measurement bias","Descriptive","VAL"
"STUDY-0305","Measurement bias","Causal","VAL"
"STUDY-0676","Measurement bias","Causal","VAL"
"STUDY-0927","Measurement bias","Causal","VAL"
"STUDY-0906","Measurement bias","Causal","VAL"
"STUDY-0501","Measurement bias","Causal","VAL"
"STUDY-0868","Measurement bias","Causal","VAL"
"STUDY-0183","Measurement bias","Causal","VAL"
"STUDY-0053","Measurement bias","Descriptive","VAL"
"STUDY-0981","Measurement bias","Causal","VAL"
"STUDY-0831","Measurement bias","Causal","VAL"
"STUDY-0519","Measurement bias","Causal","VAL"
"STUDY-0017","Measurement bias","Causal","VAL"
"STUDY-0621","Measurement bias","Causal","VAL"
"STUDY-0905","Measurement bias","Descriptive","VAL"
"STUDY-0143","Measurement bias","Descriptive","VAL"
"STUDY-0644","Measurement bias","Causal","VAL"
"STUDY-0441","Measurement bias","Descriptive","VAL"
"STUDY-0030","Measurement bias","Causal","VAL"
"STUDY-0807","Measurement bias","Causal","VAL"
"STUDY-0371","Measurement bias","Causal","VAL"
"STUDY-0911","Measurement bias","Causal","VAL"
"STUDY-0430","Measurement bias","Causal","VAL"
"STUDY-0968","Measurement bias","Causal","VAL"
"STUDY-0919","Measurement bias","Causal","VAL"
"STUDY-0460","Measurement bias","Causal","VAL"
"STUDY-0617","Measurement bias","Descriptive","VAL"
"STUDY-0674","Measurement bias","Causal","VAL"
"STUDY-0299","Measurement bias","Causal","VAL"
"STUDY-0580","Measurement bias","Descriptive","VAL"
"STUDY-0425","Measurement bias","Causal","VAL"
"STUDY-0783","Measurement bias","Causal","VAL"
"STUDY-0466","Measurement bias","Causal","VAL"
"STUDY-0380","Measurement bias","Causal","VAL"
"STUDY-0196","Measurement bias","Causal","VAL"
"STUDY-0437","Measurement bias","Causal","VAL"
"STUDY-0566","Measurement bias","Causal","VAL"
"STUDY-0928","Measurement bias","Descriptive","VAL"
"STUDY-0202","Measurement bias","Causal","VAL"
"STUDY-0019","Measurement bias","Causal","VAL"
"STUDY-0100","Measurement bias","Causal","VAL"
"STUDY-0400","Confounding bias","Causal","VAL"
"STUDY-1007","Confounding bias","Descriptive","NA"
"STUDY-0995","Confounding bias","Causal","VAL"
"STUDY-0405","Confounding bias","Causal","VAL"
"STUDY-0531","Confounding bias","Descriptive","NA"
"STUDY-0106","Confounding bias","Descriptive","NA"
"STUDY-0527","Confounding bias","Causal","VAL"
"STUDY-0436","Confounding bias","Causal","VAL"
"STUDY-0427","Confounding bias","Causal","VAL"
"STUDY-0172","Confounding bias","Causal","VAL"
"STUDY-0177","Confounding bias","Descriptive","NA"
"STUDY-0393","Confounding bias","Descriptive","NA"
"STUDY-0774","Confounding bias","Causal","OK"
"STUDY-0880","Confounding bias","Causal","VAL"
"STUDY-0914","Confounding bias","Descriptive","NA"
"STUDY-0104","Confounding bias","Causal","VAL"
"STUDY-0537","Confounding bias","Descriptive","NA"
"STUDY-0658","Confounding bias","Causal","VAL"
"STUDY-0737","Confounding bias","Descriptive","NA"
"STUDY-0220","Confounding bias","Causal","OK"
"STUDY-0994","Confounding bias","Causal","VAL"
"STUDY-0499","Confounding bias","Causal","VAL"
"STUDY-0350","Confounding bias","Descriptive","NA"
"STUDY-0354","Confounding bias","Descriptive","NA"
"STUDY-0839","Confounding bias","Causal","VAL"
"STUDY-0750","Confounding bias","Causal","VAL"
"STUDY-0259","Confounding bias","Causal","VAL"
"STUDY-0431","Confounding bias","Causal","OK"
"STUDY-0821","Confounding bias","Descriptive","NA"
"STUDY-1022","Confounding bias","Causal","OK"
"STUDY-0145","Confounding bias","Descriptive","NA"
"STUDY-0385","Confounding bias","Causal","OK"
"STUDY-0397","Confounding bias","Descriptive","NA"
"STUDY-0532","Confounding bias","Causal","VAL"
"STUDY-0284","Confounding bias","Descriptive","NA"
"STUDY-0970","Confounding bias","Descriptive","NA"
"STUDY-0304","Confounding bias","Causal","VAL"
"STUDY-0487","Confounding bias","Descriptive","NA"
"STUDY-0362","Confounding bias","Causal","VAL"
"STUDY-0731","Confounding bias","Descriptive","NA"
"STUDY-0322","Confounding bias","Causal","VAL"
"STUDY-0159","Confounding bias","Causal","OK"
"STUDY-0419","Confounding bias","Causal","VAL"
"STUDY-0333","Confounding bias","Descriptive","NA"
"STUDY-0046","Confounding bias","Causal","VAL"
"STUDY-0355","Confounding bias","Causal","OK"
"STUDY-0845","Confounding bias","Causal","VAL"
"STUDY-0555","Confounding bias","Causal","VAL"
"STUDY-0945","Confounding bias","Causal","VAL"
"STUDY-0365","Confounding bias","Causal","VAL"
"STUDY-0023","Confounding bias","Causal","VAL"
"STUDY-0817","Confounding bias","Causal","VAL"
"STUDY-0170","Confounding bias","Causal","VAL"
"STUDY-0442","Confounding bias","Causal","VAL"
"STUDY-0026","Confounding bias","Causal","VAL"
"STUDY-0048","Confounding bias","Causal","VAL"
"STUDY-0326","Confounding bias","Causal","VAL"
"STUDY-0144","Confounding bias","Causal","VAL"
"STUDY-0045","Confounding bias","Descriptive","NA"
"STUDY-0234","Confounding bias","Descriptive","NA"
"STUDY-0788","Confounding bias","Causal","VAL"
"STUDY-0521","Confounding bias","Causal","VAL"
"STUDY-0192","Confounding bias","Causal","VAL"
"STUDY-0049","Confounding bias","Causal","VAL"
"STUDY-0012","Confounding bias","Descriptive","NA"
"STUDY-0141","Confounding bias","Causal","VAL"
"STUDY-0671","Confounding bias","Causal","VAL"
"STUDY-0924","Confounding bias","Descriptive","NA"
"STUDY-0182","Confounding bias","Causal","VAL"
"STUDY-0597","Confounding bias","Causal","VAL"
"STUDY-0149","Confounding bias","Causal","VAL"
"STUDY-0256","Confounding bias","Causal","VAL"
"STUDY-0157","Confounding bias","Causal","VAL"
"STUDY-0972","Confounding bias","Causal","VAL"
"STUDY-0766","Confounding bias","Descriptive","NA"
"STUDY-0257","Confounding bias","Causal","VAL"
"STUDY-0819","Confounding bias","Causal","VAL"
"STUDY-0611","Confounding bias","Causal","VAL"
"STUDY-0942","Confounding bias","Causal","VAL"
"STUDY-0492","Confounding bias","Descriptive","NA"
"STUDY-0739","Confounding bias","Causal","VAL"
"STUDY-0306","Confounding bias","Causal","VAL"
"STUDY-0112","Confounding bias","Causal","VAL"
"STUDY-0613","Confounding bias","Causal","VAL"
"STUDY-0522","Confounding bias","Causal","VAL"
"STUDY-0792","Confounding bias","Causal","OK"
"STUDY-0248","Confounding bias","Causal","OK"
"STUDY-0189","Confounding bias","Causal","VAL"
"STUDY-0701","Confounding bias","Descriptive","NA"
"STUDY-0040","Confounding bias","Causal","VAL"
"STUDY-0402","Confounding bias","Descriptive","NA"
"STUDY-0977","Confounding bias","Causal","VAL"
"STUDY-0429","Confounding bias","Causal","OK"
"STUDY-0589","Confounding bias","Causal","VAL"
"STUDY-0933","Confounding bias","Causal","VAL"
"STUDY-0330","Confounding bias","Causal","VAL"
"STUDY-0922","Confounding bias","Causal","VAL"
"STUDY-0600","Confounding bias","Causal","VAL"
"STUDY-0119","Confounding bias","Causal","VAL"
"STUDY-0251","Confounding bias","Causal","VAL"
"STUDY-0932","Confounding bias","Causal","VAL"
"STUDY-0749","Confounding bias","Descriptive","NA"
"STUDY-0517","Confounding bias","Causal","VAL"
"STUDY-0210","Confounding bias","Descriptive","NA"
"STUDY-0923","Confounding bias","Causal","VAL"
"STUDY-0214","Confounding bias","Causal","VAL"
"STUDY-0565","Confounding bias","Causal","VAL"
"STUDY-0899","Confounding bias","Causal","VAL"
"STUDY-0094","Confounding bias","Causal","VAL"
"STUDY-0809","Confounding bias","Causal","VAL"
"STUDY-0793","Confounding bias","Causal","VAL"
"STUDY-0387","Confounding bias","Descriptive","NA"
"STUDY-0700","Confounding bias","Causal","OK"
"STUDY-0805","Confounding bias","Causal","VAL"
"STUDY-0780","Confounding bias","Causal","VAL"
"STUDY-0184","Confounding bias","Causal","OK"
"STUDY-0205","Confounding bias","Causal","OK"
"STUDY-0740","Confounding bias","Causal","VAL"
"STUDY-0930","Confounding bias","Causal","VAL"
"STUDY-1026","Confounding bias","Descriptive","NA"
"STUDY-0649","Confounding bias","Causal","VAL"
"STUDY-0133","Confounding bias","Causal","VAL"
"STUDY-0542","Confounding bias","Causal","VAL"
"STUDY-0337","Confounding bias","Causal","VAL"
"STUDY-0702","Confounding bias","Descriptive","NA"
"STUDY-0541","Confounding bias","Descriptive","NA"
"STUDY-0840","Confounding bias","Causal","VAL"
"STUDY-0447","Confounding bias","Causal","OK"
"STUDY-0634","Confounding bias","Descriptive","NA"
"STUDY-0037","Confounding bias","Causal","VAL"
"STUDY-1021","Confounding bias","Descriptive","NA"
"STUDY-0268","Confounding bias","Causal","VAL"
"STUDY-0943","Confounding bias","Descriptive","NA"
"STUDY-0760","Confounding bias","Descriptive","NA"
"STUDY-0549","Confounding bias","Causal","VAL"
"STUDY-0161","Confounding bias","Causal","VAL"
"STUDY-0064","Confounding bias","Causal","VAL"
"STUDY-0952","Confounding bias","Descriptive","NA"
"STUDY-0471","Confounding bias","Causal","VAL"
"STUDY-0135","Confounding bias","Causal","VAL"
"STUDY-0963","Confounding bias","Causal","OK"
"STUDY-0494","Confounding bias","Causal","OK"
"STUDY-0577","Confounding bias","Causal","OK"
"STUDY-0598","Confounding bias","Causal","VAL"
"STUDY-0093","Confounding bias","Causal","VAL"
"STUDY-0006","Confounding bias","Causal","VAL"
"STUDY-0698","Confounding bias","Causal","VAL"
"STUDY-0603","Confounding bias","Causal","VAL"
"STUDY-1001","Confounding bias","Causal","VAL"
"STUDY-0423","Confounding bias","Causal","VAL"
"STUDY-0086","Confounding bias","Descriptive","NA"
"STUDY-0207","Confounding bias","Causal","VAL"
"STUDY-0109","Confounding bias","Causal","VAL"
"STUDY-1016","Confounding bias","Descriptive","NA"
"STUDY-0473","Confounding bias","Descriptive","NA"
"STUDY-0295","Confounding bias","Causal","VAL"
"STUDY-0516","Confounding bias","Causal","VAL"
"STUDY-0803","Confounding bias","Descriptive","NA"
"STUDY-0307","Confounding bias","Causal","OK"
"STUDY-0560","Confounding bias","Descriptive","NA"
"STUDY-0132","Confounding bias","Causal","VAL"
"STUDY-0852","Confounding bias","Causal","VAL"
"STUDY-0231","Confounding bias","Causal","VAL"
"STUDY-0595","Confounding bias","Causal","VAL"
"STUDY-0834","Confounding bias","Causal","VAL"
"STUDY-0865","Confounding bias","Descriptive","NA"
"STUDY-0339","Confounding bias","Descriptive","NA"
"STUDY-0773","Confounding bias","Descriptive","NA"
"STUDY-0744","Confounding bias","Causal","VAL"
"STUDY-0475","Confounding bias","Causal","VAL"
"STUDY-0853","Confounding bias","Causal","VAL"
"STUDY-0403","Confounding bias","Causal","VAL"
"STUDY-0628","Confounding bias","Causal","VAL"
"STUDY-0653","Confounding bias","Causal","VAL"
"STUDY-0005","Confounding bias","Causal","VAL"
"STUDY-0162","Confounding bias","Causal","VAL"
"STUDY-0728","Confounding bias","Causal","VAL"
"STUDY-0590","Confounding bias","Causal","VAL"
"STUDY-0440","Confounding bias","Descriptive","NA"
"STUDY-0450","Confounding bias","Causal","VAL"
"STUDY-0416","Confounding bias","Causal","VAL"
"STUDY-0557","Confounding bias","Causal","VAL"
"STUDY-0352","Confounding bias","Causal","VAL"
"STUDY-0468","Confounding bias","Descriptive","NA"
"STUDY-0665","Confounding bias","Causal","VAL"
"STUDY-0988","Confounding bias","Causal","VAL"
"STUDY-0252","Confounding bias","Causal","VAL"
"STUDY-0986","Confounding bias","Causal","VAL"
"STUDY-0781","Confounding bias","Causal","OK"
"STUDY-0360","Confounding bias","Causal","VAL"
"STUDY-1003","Confounding bias","Descriptive","NA"
"STUDY-0062","Confounding bias","Causal","VAL"
"STUDY-0630","Confounding bias","Causal","VAL"
"STUDY-0335","Confounding bias","Causal","VAL"
"STUDY-0096","Confounding bias","Causal","VAL"
"STUDY-0778","Confounding bias","Descriptive","NA"
"STUDY-0878","Confounding bias","Causal","VAL"
"STUDY-0864","Confounding bias","Descriptive","NA"
"STUDY-0902","Confounding bias","Descriptive","NA"
"STUDY-0345","Confounding bias","Descriptive","NA"
"STUDY-0472","Confounding bias","Descriptive","NA"
"STUDY-0331","Confounding bias","Causal","VAL"
"STUDY-0476","Confounding bias","Causal","VAL"
"STUDY-1013","Confounding bias","Causal","VAL"
"STUDY-0194","Confounding bias","Descriptive","NA"
"STUDY-0736","Confounding bias","Causal","VAL"
"STUDY-0647","Confounding bias","Causal","VAL"
"STUDY-0978","Confounding bias","Causal","VAL"
"STUDY-0188","Confounding bias","Causal","VAL"
"STUDY-0940","Confounding bias","Causal","VAL"
"STUDY-0605","Confounding bias","Causal","VAL"
"STUDY-0084","Confounding bias","Causal","VAL"
"STUDY-0415","Confounding bias","Causal","VAL"
"STUDY-0426","Confounding bias","Causal","VAL"
"STUDY-0824","Confounding bias","Descriptive","NA"
"STUDY-0974","Confounding bias","Descriptive","NA"
"STUDY-0679","Confounding bias","Causal","VAL"
"STUDY-0115","Confounding bias","Causal","VAL"
"STUDY-0764","Confounding bias","Causal","OK"
"STUDY-0677","Confounding bias","Causal","VAL"
"STUDY-0320","Confounding bias","Causal","VAL"
"STUDY-0280","Confounding bias","Descriptive","NA"
"STUDY-0434","Confounding bias","Causal","VAL"
"STUDY-0237","Confounding bias","Causal","VAL"
"STUDY-0329","Confounding bias","Causal","VAL"
"STUDY-0561","Confounding bias","Causal","VAL"
"STUDY-0130","Confounding bias","Descriptive","NA"
"STUDY-0083","Confounding bias","Causal","VAL"
