stratifier,level,ord,task,domain,applic,val_n,rep_n,val_pct,rep_pct,mean_v_items,mean_r_items,mean_sev,ack_named,ack_pct
Single vs multi-sector,Single-sector,1,Descriptive,Selection bias,61,40,0,65.5737704918033,0,0.655737704918033,0,0.655737704918033,16,40
Single vs multi-sector,Single-sector,1,Descriptive,Measurement bias,61,60,0,98.3606557377049,0,1.73770491803279,0,1.52459016393443,19,31.6666666666667
Single vs multi-sector,Single-sector,1,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
Single vs multi-sector,Single-sector,1,Descriptive,Missing data,61,7,17,11.4754098360656,27.8688524590164,0.114754098360656,0.278688524590164,0.114754098360656,2,28.5714285714286
Single vs multi-sector,Single-sector,1,Descriptive,Mentioning errors,61,0,26,0,42.6229508196721,0,0.426229508196721,0,NA,NA
Single vs multi-sector,Single-sector,1,Descriptive,Conflating task,61,37,0,60.655737704918,0,0.60655737704918,0,0.60655737704918,NA,NA
Single vs multi-sector,Single-sector,1,Causal,Random error,156,50,89,32.0512820512821,57.0512820512821,0.365384615384615,0.57051282051282,0.365384615384615,5,10
Single vs multi-sector,Single-sector,1,Causal,Selection bias,178,151,160,84.8314606741573,89.8876404494382,0.876404494382023,1.06741573033708,0.876404494382023,44,29.1390728476821
Single vs multi-sector,Single-sector,1,Causal,Measurement bias,178,178,0,100,0,4.19662921348315,0,3.79494382022472,82,46.0674157303371
Single vs multi-sector,Single-sector,1,Causal,Confounding bias,178,151,0,84.8314606741573,0,0.848314606741573,0,0.657303380898876,32,21.1920529801325
Single vs multi-sector,Single-sector,1,Causal,Missing data,178,45,67,25.2808988764045,37.6404494382022,0.348314606741573,0.544943820224719,0.337078651685393,6,13.3333333333333
Single vs multi-sector,Single-sector,1,Causal,Mentioning errors,178,0,52,0,29.2134831460674,0,0.292134831460674,0,NA,NA
Single vs multi-sector,Single-sector,1,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
Single vs multi-sector,Multi-sector,2,Descriptive,Random error,15,4,10,26.6666666666667,66.6666666666667,0.333333333333333,0.666666666666667,0.333333333333333,1,25
Single vs multi-sector,Multi-sector,2,Descriptive,Selection bias,20,15,0,75,0,0.75,0,0.75,11,73.3333333333333
Single vs multi-sector,Multi-sector,2,Descriptive,Measurement bias,20,20,0,100,0,1.75,0,1.45,8,40
Single vs multi-sector,Multi-sector,2,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
Single vs multi-sector,Multi-sector,2,Descriptive,Missing data,20,4,8,20,40,0.2,0.4,0.2,0,0
Single vs multi-sector,Multi-sector,2,Descriptive,Mentioning errors,20,0,7,0,35,0,0.35,0,NA,NA
Single vs multi-sector,Multi-sector,2,Descriptive,Conflating task,20,15,0,75,0,0.75,0,0.75,NA,NA
Single vs multi-sector,Multi-sector,2,Causal,Random error,34,10,19,29.4117647058824,55.8823529411765,0.294117647058824,0.558823529411765,0.294117647058824,3,30
Single vs multi-sector,Multi-sector,2,Causal,Selection bias,51,32,40,62.7450980392157,78.4313725490196,0.666666666666667,0.823529411764706,0.666666666666667,13,40.625
Single vs multi-sector,Multi-sector,2,Causal,Measurement bias,51,51,0,100,0,4.11764705882353,0,3.82352941176471,20,39.2156862745098
Single vs multi-sector,Multi-sector,2,Causal,Confounding bias,51,50,0,98.0392156862745,0,0.980392156862745,0,0.803921582352941,16,32
Single vs multi-sector,Multi-sector,2,Causal,Missing data,51,7,16,13.7254901960784,31.3725490196078,0.196078431372549,0.411764705882353,0.186274509803922,0,0
Single vs multi-sector,Multi-sector,2,Causal,Mentioning errors,51,0,13,0,25.4901960784314,0,0.254901960784314,0,NA,NA
Single vs multi-sector,Multi-sector,2,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
JCR 2022 quartile,Q1,1,Descriptive,Random error,7,2,4,28.5714285714286,57.1428571428571,0.285714285714286,0.571428571428571,0.285714285714286,0,0
JCR 2022 quartile,Q1,1,Descriptive,Selection bias,17,8,0,47.0588235294118,0,0.470588235294118,0,0.470588235294118,4,50
JCR 2022 quartile,Q1,1,Descriptive,Measurement bias,17,17,0,100,0,1.64705882352941,0,1.44117647058824,6,35.2941176470588
JCR 2022 quartile,Q1,1,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
JCR 2022 quartile,Q1,1,Descriptive,Missing data,17,1,8,5.88235294117647,47.0588235294118,0.0588235294117647,0.470588235294118,0.0588235294117647,1,100
JCR 2022 quartile,Q1,1,Descriptive,Mentioning errors,17,0,8,0,47.0588235294118,0,0.470588235294118,0,NA,NA
JCR 2022 quartile,Q1,1,Descriptive,Conflating task,17,11,0,64.7058823529412,0,0.647058823529412,0,0.647058823529412,NA,NA
JCR 2022 quartile,Q1,1,Causal,Random error,38,10,23,26.3157894736842,60.5263157894737,0.315789473684211,0.605263157894737,0.315789473684211,1,10
JCR 2022 quartile,Q1,1,Causal,Selection bias,47,41,43,87.2340425531915,91.4893617021277,0.872340425531915,1.08510638297872,0.872340425531915,15,36.5853658536585
JCR 2022 quartile,Q1,1,Causal,Measurement bias,47,47,0,100,0,4.46808510638298,0,4.04255319148936,28,59.5744680851064
JCR 2022 quartile,Q1,1,Causal,Confounding bias,47,43,0,91.4893617021277,0,0.914893617021277,0,0.758865257446808,8,18.6046511627907
JCR 2022 quartile,Q1,1,Causal,Missing data,47,12,15,25.531914893617,31.9148936170213,0.404255319148936,0.425531914893617,0.404255319148936,0,0
JCR 2022 quartile,Q1,1,Causal,Mentioning errors,47,0,7,0,14.8936170212766,0,0.148936170212766,0,NA,NA
JCR 2022 quartile,Q1,1,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
JCR 2022 quartile,Q2,2,Descriptive,Random error,7,2,3,28.5714285714286,42.8571428571429,0.285714285714286,0.428571428571429,0.285714285714286,1,50
JCR 2022 quartile,Q2,2,Descriptive,Selection bias,13,8,0,61.5384615384615,0,0.615384615384615,0,0.615384615384615,4,50
JCR 2022 quartile,Q2,2,Descriptive,Measurement bias,13,13,0,100,0,1.76923076923077,0,1.46153846153846,4,30.7692307692308
JCR 2022 quartile,Q2,2,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
JCR 2022 quartile,Q2,2,Descriptive,Missing data,13,0,2,0,15.3846153846154,0,0.153846153846154,0,NA,NA
JCR 2022 quartile,Q2,2,Descriptive,Mentioning errors,13,0,7,0,53.8461538461538,0,0.538461538461538,0,NA,NA
JCR 2022 quartile,Q2,2,Descriptive,Conflating task,13,9,0,69.2307692307692,0,0.692307692307692,0,0.692307692307692,NA,NA
JCR 2022 quartile,Q2,2,Causal,Random error,54,16,29,29.6296296296296,53.7037037037037,0.296296296296296,0.537037037037037,0.296296296296296,3,18.75
JCR 2022 quartile,Q2,2,Causal,Selection bias,67,48,55,71.6417910447761,82.089552238806,0.73134328358209,0.985074626865672,0.73134328358209,15,31.25
JCR 2022 quartile,Q2,2,Causal,Measurement bias,67,67,0,100,0,3.86567164179104,0,3.45522388059702,35,52.2388059701493
JCR 2022 quartile,Q2,2,Causal,Confounding bias,67,57,0,85.0746268656716,0,0.850746268656716,0,0.641791055223881,19,33.3333333333333
JCR 2022 quartile,Q2,2,Causal,Missing data,67,14,29,20.8955223880597,43.2835820895522,0.26865671641791,0.567164179104478,0.23134328358209,4,28.5714285714286
JCR 2022 quartile,Q2,2,Causal,Mentioning errors,67,0,18,0,26.865671641791,0,0.26865671641791,0,NA,NA
JCR 2022 quartile,Q2,2,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
JCR 2022 quartile,Q3,3,Descriptive,Random error,15,4,10,26.6666666666667,66.6666666666667,0.466666666666667,0.666666666666667,0.466666666666667,1,25
JCR 2022 quartile,Q3,3,Descriptive,Selection bias,18,13,0,72.2222222222222,0,0.722222222222222,0,0.722222222222222,8,61.5384615384615
JCR 2022 quartile,Q3,3,Descriptive,Measurement bias,18,18,0,100,0,1.77777777777778,0,1.52777777777778,8,44.4444444444444
JCR 2022 quartile,Q3,3,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
JCR 2022 quartile,Q3,3,Descriptive,Missing data,18,3,6,16.6666666666667,33.3333333333333,0.166666666666667,0.333333333333333,0.166666666666667,0,0
JCR 2022 quartile,Q3,3,Descriptive,Mentioning errors,18,0,4,0,22.2222222222222,0,0.222222222222222,0,NA,NA
JCR 2022 quartile,Q3,3,Descriptive,Conflating task,18,12,0,66.6666666666667,0,0.666666666666667,0,0.666666666666667,NA,NA
JCR 2022 quartile,Q3,3,Causal,Random error,36,15,19,41.6666666666667,52.7777777777778,0.472222222222222,0.527777777777778,0.472222222222222,3,20
JCR 2022 quartile,Q3,3,Causal,Selection bias,45,32,37,71.1111111111111,82.2222222222222,0.711111111111111,0.933333333333333,0.711111111111111,11,34.375
JCR 2022 quartile,Q3,3,Causal,Measurement bias,45,45,0,100,0,4.15555555555556,0,3.81111111111111,15,33.3333333333333
JCR 2022 quartile,Q3,3,Causal,Confounding bias,45,38,0,84.4444444444444,0,0.844444444444444,0,0.659259271111111,10,26.3157894736842
JCR 2022 quartile,Q3,3,Causal,Missing data,45,11,15,24.4444444444444,33.3333333333333,0.311111111111111,0.488888888888889,0.311111111111111,2,18.1818181818182
JCR 2022 quartile,Q3,3,Causal,Mentioning errors,45,0,12,0,26.6666666666667,0,0.266666666666667,0,NA,NA
JCR 2022 quartile,Q3,3,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
JCR 2022 quartile,Q4,4,Descriptive,Random error,13,1,10,7.69230769230769,76.9230769230769,0.0769230769230769,0.769230769230769,0.0769230769230769,1,100
JCR 2022 quartile,Q4,4,Descriptive,Selection bias,17,14,0,82.3529411764706,0,0.823529411764706,0,0.823529411764706,6,42.8571428571429
JCR 2022 quartile,Q4,4,Descriptive,Measurement bias,17,17,0,100,0,1.76470588235294,0,1.58823529411765,5,29.4117647058824
JCR 2022 quartile,Q4,4,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
JCR 2022 quartile,Q4,4,Descriptive,Missing data,17,5,3,29.4117647058824,17.6470588235294,0.294117647058824,0.176470588235294,0.294117647058824,1,20
JCR 2022 quartile,Q4,4,Descriptive,Mentioning errors,17,0,6,0,35.2941176470588,0,0.352941176470588,0,NA,NA
JCR 2022 quartile,Q4,4,Descriptive,Conflating task,17,10,0,58.8235294117647,0,0.588235294117647,0,0.588235294117647,NA,NA
JCR 2022 quartile,Q4,4,Causal,Random error,18,3,13,16.6666666666667,72.2222222222222,0.222222222222222,0.722222222222222,0.222222222222222,1,33.3333333333333
JCR 2022 quartile,Q4,4,Causal,Selection bias,20,18,20,90,100,1.1,1,1.1,5,27.7777777777778
JCR 2022 quartile,Q4,4,Causal,Measurement bias,20,20,0,100,0,3.75,0,3.5,5,25
JCR 2022 quartile,Q4,4,Causal,Confounding bias,20,20,0,100,0,1,0,0.766666675,4,20
JCR 2022 quartile,Q4,4,Causal,Missing data,20,5,8,25,40,0.35,0.65,0.35,0,0
JCR 2022 quartile,Q4,4,Causal,Mentioning errors,20,0,7,0,35,0,0.35,0,NA,NA
JCR 2022 quartile,Q4,4,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
JCR 2022 quartile,None,5,Descriptive,Random error,13,5,8,38.4615384615385,61.5384615384615,0.384615384615385,0.615384615384615,0.384615384615385,1,20
JCR 2022 quartile,None,5,Descriptive,Selection bias,16,12,0,75,0,0.75,0,0.75,5,41.6666666666667
JCR 2022 quartile,None,5,Descriptive,Measurement bias,16,15,0,93.75,0,1.75,0,1.5,4,26.6666666666667
JCR 2022 quartile,None,5,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
JCR 2022 quartile,None,5,Descriptive,Missing data,16,2,6,12.5,37.5,0.125,0.375,0.125,0,0
JCR 2022 quartile,None,5,Descriptive,Mentioning errors,16,0,8,0,50,0,0.5,0,NA,NA
JCR 2022 quartile,None,5,Descriptive,Conflating task,16,10,0,62.5,0,0.625,0,0.625,NA,NA
JCR 2022 quartile,None,5,Causal,Random error,44,16,24,36.3636363636364,54.5454545454545,0.409090909090909,0.545454545454545,0.409090909090909,0,0
JCR 2022 quartile,None,5,Causal,Selection bias,50,44,45,88,90,0.92,1.06,0.92,11,25
JCR 2022 quartile,None,5,Causal,Measurement bias,50,50,0,100,0,4.52,0,4.15,19,38
JCR 2022 quartile,None,5,Causal,Confounding bias,50,43,0,86,0,0.86,0,0.68666668,7,16.2790697674419
JCR 2022 quartile,None,5,Causal,Missing data,50,10,16,20,32,0.28,0.5,0.28,0,0
JCR 2022 quartile,None,5,Causal,Mentioning errors,50,0,21,0,42,0,0.42,0,NA,NA
JCR 2022 quartile,None,5,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
JCR Q1-2 vs Q3-4,Q1-Q2,1,Descriptive,Random error,14,4,7,28.5714285714286,50,0.285714285714286,0.5,0.285714285714286,1,25
JCR Q1-2 vs Q3-4,Q1-Q2,1,Descriptive,Selection bias,30,16,0,53.3333333333333,0,0.533333333333333,0,0.533333333333333,8,50
JCR Q1-2 vs Q3-4,Q1-Q2,1,Descriptive,Measurement bias,30,30,0,100,0,1.7,0,1.45,10,33.3333333333333
JCR Q1-2 vs Q3-4,Q1-Q2,1,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
JCR Q1-2 vs Q3-4,Q1-Q2,1,Descriptive,Missing data,30,1,10,3.33333333333333,33.3333333333333,0.0333333333333333,0.333333333333333,0.0333333333333333,1,100
JCR Q1-2 vs Q3-4,Q1-Q2,1,Descriptive,Mentioning errors,30,0,15,0,50,0,0.5,0,NA,NA
JCR Q1-2 vs Q3-4,Q1-Q2,1,Descriptive,Conflating task,30,20,0,66.6666666666667,0,0.666666666666667,0,0.666666666666667,NA,NA
JCR Q1-2 vs Q3-4,Q1-Q2,1,Causal,Random error,92,26,52,28.2608695652174,56.5217391304348,0.304347826086957,0.565217391304348,0.304347826086957,4,15.3846153846154
JCR Q1-2 vs Q3-4,Q1-Q2,1,Causal,Selection bias,114,89,98,78.0701754385965,85.9649122807018,0.789473684210526,1.02631578947368,0.789473684210526,30,33.7078651685393
JCR Q1-2 vs Q3-4,Q1-Q2,1,Causal,Measurement bias,114,114,0,100,0,4.1140350877193,0,3.69736842105263,63,55.2631578947368
JCR Q1-2 vs Q3-4,Q1-Q2,1,Causal,Confounding bias,114,100,0,87.719298245614,0,0.87719298245614,0,0.690058489473684,27,27
JCR Q1-2 vs Q3-4,Q1-Q2,1,Causal,Missing data,114,26,44,22.8070175438597,38.5964912280702,0.324561403508772,0.508771929824561,0.302631578947368,4,15.3846153846154
JCR Q1-2 vs Q3-4,Q1-Q2,1,Causal,Mentioning errors,114,0,25,0,21.9298245614035,0,0.219298245614035,0,NA,NA
JCR Q1-2 vs Q3-4,Q1-Q2,1,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
JCR Q1-2 vs Q3-4,Q3-Q4,2,Descriptive,Random error,28,5,20,17.8571428571429,71.4285714285714,0.285714285714286,0.714285714285714,0.285714285714286,2,40
JCR Q1-2 vs Q3-4,Q3-Q4,2,Descriptive,Selection bias,35,27,0,77.1428571428571,0,0.771428571428571,0,0.771428571428571,14,51.8518518518519
JCR Q1-2 vs Q3-4,Q3-Q4,2,Descriptive,Measurement bias,35,35,0,100,0,1.77142857142857,0,1.55714285714286,13,37.1428571428571
JCR Q1-2 vs Q3-4,Q3-Q4,2,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
JCR Q1-2 vs Q3-4,Q3-Q4,2,Descriptive,Missing data,35,8,9,22.8571428571429,25.7142857142857,0.228571428571429,0.257142857142857,0.228571428571429,1,12.5
JCR Q1-2 vs Q3-4,Q3-Q4,2,Descriptive,Mentioning errors,35,0,10,0,28.5714285714286,0,0.285714285714286,0,NA,NA
JCR Q1-2 vs Q3-4,Q3-Q4,2,Descriptive,Conflating task,35,22,0,62.8571428571429,0,0.628571428571429,0,0.628571428571429,NA,NA
JCR Q1-2 vs Q3-4,Q3-Q4,2,Causal,Random error,54,18,32,33.3333333333333,59.2592592592593,0.388888888888889,0.592592592592593,0.388888888888889,4,22.2222222222222
JCR Q1-2 vs Q3-4,Q3-Q4,2,Causal,Selection bias,65,50,57,76.9230769230769,87.6923076923077,0.830769230769231,0.953846153846154,0.830769230769231,16,32
JCR Q1-2 vs Q3-4,Q3-Q4,2,Causal,Measurement bias,65,65,0,100,0,4.03076923076923,0,3.71538461538462,20,30.7692307692308
JCR Q1-2 vs Q3-4,Q3-Q4,2,Causal,Confounding bias,65,58,0,89.2307692307692,0,0.892307692307692,0,0.692307703076923,14,24.1379310344828
JCR Q1-2 vs Q3-4,Q3-Q4,2,Causal,Missing data,65,16,23,24.6153846153846,35.3846153846154,0.323076923076923,0.538461538461538,0.323076923076923,2,12.5
JCR Q1-2 vs Q3-4,Q3-Q4,2,Causal,Mentioning errors,65,0,19,0,29.2307692307692,0,0.292307692307692,0,NA,NA
JCR Q1-2 vs Q3-4,Q3-Q4,2,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
JCR Q1-2 vs Q3-4,None,3,Descriptive,Random error,13,5,8,38.4615384615385,61.5384615384615,0.384615384615385,0.615384615384615,0.384615384615385,1,20
JCR Q1-2 vs Q3-4,None,3,Descriptive,Selection bias,16,12,0,75,0,0.75,0,0.75,5,41.6666666666667
JCR Q1-2 vs Q3-4,None,3,Descriptive,Measurement bias,16,15,0,93.75,0,1.75,0,1.5,4,26.6666666666667
JCR Q1-2 vs Q3-4,None,3,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
JCR Q1-2 vs Q3-4,None,3,Descriptive,Missing data,16,2,6,12.5,37.5,0.125,0.375,0.125,0,0
JCR Q1-2 vs Q3-4,None,3,Descriptive,Mentioning errors,16,0,8,0,50,0,0.5,0,NA,NA
JCR Q1-2 vs Q3-4,None,3,Descriptive,Conflating task,16,10,0,62.5,0,0.625,0,0.625,NA,NA
JCR Q1-2 vs Q3-4,None,3,Causal,Random error,44,16,24,36.3636363636364,54.5454545454545,0.409090909090909,0.545454545454545,0.409090909090909,0,0
JCR Q1-2 vs Q3-4,None,3,Causal,Selection bias,50,44,45,88,90,0.92,1.06,0.92,11,25
JCR Q1-2 vs Q3-4,None,3,Causal,Measurement bias,50,50,0,100,0,4.52,0,4.15,19,38
JCR Q1-2 vs Q3-4,None,3,Causal,Confounding bias,50,43,0,86,0,0.86,0,0.68666668,7,16.2790697674419
JCR Q1-2 vs Q3-4,None,3,Causal,Missing data,50,10,16,20,32,0.28,0.5,0.28,0,0
JCR Q1-2 vs Q3-4,None,3,Causal,Mentioning errors,50,0,21,0,42,0,0.42,0,NA,NA
JCR Q1-2 vs Q3-4,None,3,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
Funding,Funded,1,Descriptive,Random error,24,7,16,29.1666666666667,66.6666666666667,0.375,0.666666666666667,0.375,2,28.5714285714286
Funding,Funded,1,Descriptive,Selection bias,31,23,0,74.1935483870968,0,0.741935483870968,0,0.741935483870968,10,43.4782608695652
Funding,Funded,1,Descriptive,Measurement bias,31,31,0,100,0,1.74193548387097,0,1.48387096774194,12,38.7096774193548
Funding,Funded,1,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
Funding,Funded,1,Descriptive,Missing data,31,5,12,16.1290322580645,38.7096774193548,0.161290322580645,0.387096774193548,0.161290322580645,1,20
Funding,Funded,1,Descriptive,Mentioning errors,31,0,14,0,45.1612903225806,0,0.451612903225806,0,NA,NA
Funding,Funded,1,Descriptive,Conflating task,31,21,0,67.741935483871,0,0.67741935483871,0,0.67741935483871,NA,NA
Funding,Funded,1,Causal,Random error,96,20,62,20.8333333333333,64.5833333333333,0.239583333333333,0.645833333333333,0.239583333333333,1,5
Funding,Funded,1,Causal,Selection bias,111,94,97,84.6846846846847,87.3873873873874,0.90990990990991,1.00900900900901,0.90990990990991,31,32.9787234042553
Funding,Funded,1,Causal,Measurement bias,111,111,0,100,0,4.18918918918919,0,3.77477477477477,56,50.4504504504505
Funding,Funded,1,Causal,Confounding bias,111,97,0,87.3873873873874,0,0.873873873873874,0,0.681681693693694,23,23.7113402061856
Funding,Funded,1,Causal,Missing data,111,31,39,27.9279279279279,35.1351351351351,0.36036036036036,0.522522522522523,0.349099099099099,6,19.3548387096774
Funding,Funded,1,Causal,Mentioning errors,111,0,30,0,27.027027027027,0,0.27027027027027,0,NA,NA
Funding,Funded,1,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
Funding,Declared none,2,Descriptive,Random error,19,5,11,26.3157894736842,57.8947368421053,0.315789473684211,0.578947368421053,0.315789473684211,0,0
Funding,Declared none,2,Descriptive,Selection bias,29,20,0,68.9655172413793,0,0.689655172413793,0,0.689655172413793,11,55
Funding,Declared none,2,Descriptive,Measurement bias,29,29,0,100,0,1.82758620689655,0,1.55172413793103,7,24.1379310344828
Funding,Declared none,2,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
Funding,Declared none,2,Descriptive,Missing data,29,5,6,17.2413793103448,20.6896551724138,0.172413793103448,0.206896551724138,0.172413793103448,1,20
Funding,Declared none,2,Descriptive,Mentioning errors,29,0,13,0,44.8275862068966,0,0.448275862068966,0,NA,NA
Funding,Declared none,2,Descriptive,Conflating task,29,17,0,58.6206896551724,0,0.586206896551724,0,0.586206896551724,NA,NA
Funding,Declared none,2,Causal,Random error,49,22,24,44.8979591836735,48.9795918367347,0.489795918367347,0.489795918367347,0.489795918367347,4,18.1818181818182
Funding,Declared none,2,Causal,Selection bias,57,46,48,80.7017543859649,84.2105263157895,0.807017543859649,0.982456140350877,0.807017543859649,14,30.4347826086957
Funding,Declared none,2,Causal,Measurement bias,57,57,0,100,0,4.2280701754386,0,3.87719298245614,24,42.1052631578947
Funding,Declared none,2,Causal,Confounding bias,57,50,0,87.719298245614,0,0.87719298245614,0,0.707602347368421,9,18
Funding,Declared none,2,Causal,Missing data,57,11,19,19.2982456140351,33.3333333333333,0.298245614035088,0.491228070175439,0.276315789473684,0,0
Funding,Declared none,2,Causal,Mentioning errors,57,0,20,0,35.0877192982456,0,0.350877192982456,0,NA,NA
Funding,Declared none,2,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
Funding,Not stated,3,Descriptive,Random error,12,2,8,16.6666666666667,66.6666666666667,0.166666666666667,0.666666666666667,0.166666666666667,2,100
Funding,Not stated,3,Descriptive,Selection bias,21,12,0,57.1428571428571,0,0.571428571428571,0,0.571428571428571,6,50
Funding,Not stated,3,Descriptive,Measurement bias,21,20,0,95.2380952380952,0,1.61904761904762,0,1.47619047619048,8,40
Funding,Not stated,3,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
Funding,Not stated,3,Descriptive,Missing data,21,1,7,4.76190476190476,33.3333333333333,0.0476190476190476,0.333333333333333,0.0476190476190476,0,0
Funding,Not stated,3,Descriptive,Mentioning errors,21,0,6,0,28.5714285714286,0,0.285714285714286,0,NA,NA
Funding,Not stated,3,Descriptive,Conflating task,21,14,0,66.6666666666667,0,0.666666666666667,0,0.666666666666667,NA,NA
Funding,Not stated,3,Causal,Random error,45,18,22,40,48.8888888888889,0.444444444444444,0.488888888888889,0.444444444444444,3,16.6666666666667
Funding,Not stated,3,Causal,Selection bias,61,43,55,70.4918032786885,90.1639344262295,0.704918032786885,1.04918032786885,0.704918032786885,12,27.906976744186
Funding,Not stated,3,Causal,Measurement bias,61,61,0,100,0,4.11475409836066,0,3.77868852459016,22,36.0655737704918
Funding,Not stated,3,Causal,Confounding bias,61,54,0,88.5245901639344,0,0.885245901639344,0,0.688524601639344,16,29.6296296296296
Funding,Not stated,3,Causal,Missing data,61,10,25,16.3934426229508,40.9836065573771,0.245901639344262,0.524590163934426,0.245901639344262,0,0
Funding,Not stated,3,Causal,Mentioning errors,61,0,15,0,24.5901639344262,0,0.245901639344262,0,NA,NA
Funding,Not stated,3,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
