"PMID","Study_Type","domain","item","axis","state","primary","raw","severity"
"STUDY-0532","Causal","Measurement bias","val_exposure","validity","NA",TRUE,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",0
"STUDY-0532","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0532","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0532","Causal","Measurement bias","dep_or_indep_misc","validity","OK",TRUE,"Independent",0
"STUDY-0532","Causal","Confounding bias","base_conf_meth","validity","VAL",TRUE,"Randomization",1
"STUDY-0532","Causal","Confounding bias","conf_var_det","validity","NA",TRUE,"No adjustment for baseline and time-varying confounding was done",0
"STUDY-0532","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0532","Causal","Missing data","miss_outcome","reporting","OK",TRUE,"Yes",0
"STUDY-0532","Causal","Missing data","hand_miss_outcom","validity","VAL",TRUE,"No",1
"STUDY-0532","Causal","Missing data","miss_exposure","reporting","OK",TRUE,"No",0
"STUDY-0532","Causal","Mentioning errors","err_disc","reporting","REP",TRUE,"None of the above",0
"STUDY-0284","Descriptive","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0284","Descriptive","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0284","Descriptive","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0284","Descriptive","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0284","Descriptive","Measurement bias","val_outcome","validity","VAL",TRUE,"No",1
"STUDY-0284","Descriptive","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0284","Descriptive","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0284","Descriptive","Mentioning errors","err_disc","reporting","OK",TRUE,"Selection bias;Measurement bias",0
"STUDY-0284","Descriptive","Conflating task","confl_task","validity","VAL",TRUE,"Yes",1
"STUDY-0970","Descriptive","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0970","Descriptive","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0970","Descriptive","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0970","Descriptive","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0970","Descriptive","Measurement bias","val_outcome","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0970","Descriptive","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0970","Descriptive","Missing data","miss_outcome","reporting","OK",TRUE,"Yes",0
"STUDY-0970","Descriptive","Missing data","hand_miss_outcom","validity","VAL",TRUE,"No",1
"STUDY-0970","Descriptive","Mentioning errors","err_disc","reporting","OK",TRUE,"Selection bias",0
"STUDY-0970","Descriptive","Conflating task","confl_task","validity","OK",TRUE,"No",0
"STUDY-0304","Causal","Random error","sample_size","reporting","OK",TRUE,"Yes",0
"STUDY-0304","Causal","Random error","acc_sampl","validity","VAL",TRUE,"No",1
"STUDY-0304","Causal","Random error","sample_ach","validity","OK",TRUE,"Yes",0
"STUDY-0304","Causal","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0304","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0304","Causal","Measurement bias","val_outcome","validity","VAL",TRUE,"No",1
"STUDY-0304","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0304","Causal","Measurement bias","diff_or_nondiff_out","validity","OK",TRUE,"Non-differential with respect to the exposure",0
"STUDY-0304","Causal","Measurement bias","val_exposure","validity","NA",TRUE,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",0
"STUDY-0304","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0304","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0304","Causal","Measurement bias","dep_or_indep_misc","validity","OK",TRUE,"Independent",0
"STUDY-0304","Causal","Confounding bias","base_conf_meth","validity","VAL",TRUE,"No adjustment for baseline confounding was done",1
"STUDY-0304","Causal","Confounding bias","conf_var_det","validity","NA",TRUE,"No adjustment for baseline and time-varying confounding was done",0
"STUDY-0304","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0304","Causal","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0304","Causal","Missing data","miss_exposure","reporting","OK",TRUE,"No",0
"STUDY-0304","Causal","Mentioning errors","err_disc","reporting","OK",TRUE,"Random error;Selection bias;Measurement bias",0
"STUDY-0487","Descriptive","Random error","sample_size","reporting","OK",TRUE,"Yes",0
"STUDY-0487","Descriptive","Random error","acc_sampl","validity","VAL",TRUE,"No",1
"STUDY-0487","Descriptive","Random error","sample_ach","validity","OK",TRUE,"Yes",0
"STUDY-0487","Descriptive","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0487","Descriptive","Measurement bias","val_outcome","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0487","Descriptive","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0487","Descriptive","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0487","Descriptive","Mentioning errors","err_disc","reporting","OK",TRUE,"Selection bias",0
"STUDY-0487","Descriptive","Conflating task","confl_task","validity","VAL",TRUE,"Yes",1
"STUDY-0362","Causal","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0362","Causal","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0362","Causal","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0362","Causal","Selection bias","base_sel","validity","OK",TRUE,"Yes",0
"STUDY-0362","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0362","Causal","Measurement bias","val_outcome","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0362","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0362","Causal","Measurement bias","diff_or_nondiff_out","validity","VAL",TRUE,"Differential with respect to the exposure",1
"STUDY-0362","Causal","Measurement bias","val_exposure","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0362","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0362","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0362","Causal","Measurement bias","dep_or_indep_misc","validity","OK",TRUE,"Independent",0
"STUDY-0362","Causal","Confounding bias","base_conf_meth","validity","OK",TRUE,"Stratification;Regression;Inverse probability of treatment weighting",0
"STUDY-0362","Causal","Confounding bias","conf_var_det","validity","VAL",TRUE,"Based on none of the above",0.6666667
"STUDY-0362","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0362","Causal","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0362","Causal","Missing data","miss_exposure","reporting","OK",TRUE,"Yes",0
"STUDY-0362","Causal","Missing data","hand_miss_exposure","validity","VAL",TRUE,"No",1
"STUDY-0362","Causal","Mentioning errors","err_disc","reporting","OK",TRUE,"Measurement bias;Confounding bias",0
"STUDY-0731","Descriptive","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0731","Descriptive","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0731","Descriptive","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0731","Descriptive","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0731","Descriptive","Measurement bias","val_outcome","validity","VAL",TRUE,"No",1
"STUDY-0731","Descriptive","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0731","Descriptive","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0731","Descriptive","Mentioning errors","err_disc","reporting","OK",TRUE,"Measurement bias",0
"STUDY-0731","Descriptive","Conflating task","confl_task","validity","OK",TRUE,"No",0
"STUDY-0322","Causal","Random error","sample_size","reporting","OK",TRUE,"Yes",0
"STUDY-0322","Causal","Random error","acc_sampl","validity","VAL",TRUE,"No",1
"STUDY-0322","Causal","Random error","sample_ach","validity","OK",TRUE,"Yes",0
"STUDY-0322","Causal","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0322","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0322","Causal","Measurement bias","val_outcome","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0322","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0322","Causal","Measurement bias","diff_or_nondiff_out","validity","OK",TRUE,"Non-differential with respect to the exposure",0
"STUDY-0322","Causal","Measurement bias","val_exposure","validity","NA",TRUE,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",0
"STUDY-0322","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0322","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0322","Causal","Measurement bias","dep_or_indep_misc","validity","VAL",TRUE,"Dependent",1
"STUDY-0322","Causal","Confounding bias","base_conf_meth","validity","OK",TRUE,"Regression",0
"STUDY-0322","Causal","Confounding bias","conf_var_det","validity","VAL",TRUE,"Based on none of the above",0.6666667
"STUDY-0322","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0322","Causal","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0322","Causal","Missing data","miss_exposure","reporting","OK",TRUE,"No",0
"STUDY-0322","Causal","Mentioning errors","err_disc","reporting","OK",TRUE,"Selection bias;Measurement bias",0
"STUDY-0159","Causal","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0159","Causal","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0159","Causal","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0159","Causal","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0159","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0159","Causal","Selection bias","ltfu_bias","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0159","Causal","Measurement bias","val_outcome","validity","OK",TRUE,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies",0
"STUDY-0159","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0159","Causal","Measurement bias","diff_or_nondiff_out","validity","OK",TRUE,"Non-differential with respect to the exposure",0
"STUDY-0159","Causal","Measurement bias","val_exposure","validity","NA",TRUE,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",0
"STUDY-0159","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0159","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0159","Causal","Measurement bias","dep_or_indep_misc","validity","OK",TRUE,"Independent",0
"STUDY-0159","Causal","Confounding bias","base_conf_meth","validity","OK",TRUE,"Randomization",0
"STUDY-0159","Causal","Confounding bias","conf_var_det","validity","NA",TRUE,"No adjustment for baseline and time-varying confounding was done",0
"STUDY-0159","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0159","Causal","Missing data","miss_outcome","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0159","Causal","Missing data","miss_exposure","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0159","Causal","Mentioning errors","err_disc","reporting","REP",TRUE,"None of the above",0
"STUDY-0419","Causal","Selection bias","base_sel","validity","OK",TRUE,"No baseline selection bias from investigator",0
"STUDY-0419","Causal","Selection bias","comp_dis","reporting","NA",TRUE,"",0
"STUDY-0419","Causal","Measurement bias","val_outcome","validity","VAL",TRUE,"No",1
"STUDY-0419","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0419","Causal","Measurement bias","diff_or_nondiff_out","validity","OK",TRUE,"Non-differential with respect to the exposure",0
"STUDY-0419","Causal","Measurement bias","val_exposure","validity","VAL",TRUE,"No",1
"STUDY-0419","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0419","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0419","Causal","Measurement bias","dep_or_indep_misc","validity","VAL",TRUE,"Dependent",1
"STUDY-0419","Causal","Confounding bias","base_conf_meth","validity","OK",TRUE,"Regression",0
"STUDY-0419","Causal","Confounding bias","conf_var_det","validity","VAL",TRUE,"Based on statistical criteria",0.6666667
"STUDY-0419","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0419","Causal","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0419","Causal","Missing data","miss_exposure","reporting","OK",TRUE,"No",0
"STUDY-0419","Causal","Mentioning errors","err_disc","reporting","REP",TRUE,"None of the above",0
"STUDY-0333","Descriptive","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0333","Descriptive","Measurement bias","val_outcome","validity","OK",TRUE,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies",0
"STUDY-0333","Descriptive","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0333","Descriptive","Missing data","miss_outcome","reporting","OK",TRUE,"Yes",0
"STUDY-0333","Descriptive","Missing data","hand_miss_outcom","validity","VAL",TRUE,"No",1
"STUDY-0333","Descriptive","Mentioning errors","err_disc","reporting","OK",TRUE,"Random error;Selection bias",0
"STUDY-0333","Descriptive","Conflating task","confl_task","validity","OK",TRUE,"No",0
"STUDY-0046","Causal","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0046","Causal","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0046","Causal","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0046","Causal","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0046","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0046","Causal","Selection bias","ltfu_bias","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0046","Causal","Measurement bias","val_outcome","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0046","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0046","Causal","Measurement bias","diff_or_nondiff_out","validity","OK",TRUE,"Non-differential with respect to the exposure",0
"STUDY-0046","Causal","Measurement bias","val_exposure","validity","NA",TRUE,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",0
"STUDY-0046","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0046","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0046","Causal","Measurement bias","dep_or_indep_misc","validity","OK",TRUE,"Independent",0
"STUDY-0046","Causal","Confounding bias","base_conf_meth","validity","OK",TRUE,"Restriction;Regression",0
"STUDY-0046","Causal","Confounding bias","conf_var_det","validity","VAL",TRUE,"Based on previous literature;Based on statistical criteria",0.3333333
"STUDY-0046","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0046","Causal","Missing data","miss_outcome","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0046","Causal","Missing data","miss_exposure","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0046","Causal","Mentioning errors","err_disc","reporting","OK",TRUE,"Random error;Selection bias;Confounding bias",0
"STUDY-0355","Causal","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0355","Causal","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0355","Causal","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0355","Causal","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0355","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0355","Causal","Selection bias","ltfu_bias","reporting","OK",TRUE,"No",0
"STUDY-0355","Causal","Measurement bias","val_outcome","validity","OK",TRUE,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies",0
"STUDY-0355","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0355","Causal","Measurement bias","diff_or_nondiff_out","validity","VAL",TRUE,"Differential with respect to the exposure",1
"STUDY-0355","Causal","Measurement bias","val_exposure","validity","NA",TRUE,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",0
"STUDY-0355","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0355","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0355","Causal","Measurement bias","dep_or_indep_misc","validity","VAL",TRUE,"Dependent",1
"STUDY-0355","Causal","Confounding bias","base_conf_meth","validity","OK",TRUE,"Randomization",0
"STUDY-0355","Causal","Confounding bias","conf_var_det","validity","NA",TRUE,"No adjustment for baseline and time-varying confounding was done",0
"STUDY-0355","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0355","Causal","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0355","Causal","Missing data","miss_exposure","reporting","OK",TRUE,"No",0
"STUDY-0355","Causal","Mentioning errors","err_disc","reporting","OK",TRUE,"Random error",0
"STUDY-0845","Causal","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0845","Causal","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0845","Causal","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0845","Causal","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0845","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0845","Causal","Measurement bias","val_outcome","validity","NA",TRUE,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",0
"STUDY-0845","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0845","Causal","Measurement bias","diff_or_nondiff_out","validity","VAL",TRUE,"Differential with respect to the exposure",1
"STUDY-0845","Causal","Measurement bias","val_exposure","validity","OK",TRUE,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies",0
"STUDY-0845","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0845","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0845","Causal","Measurement bias","dep_or_indep_misc","validity","OK",TRUE,"Independent",0
"STUDY-0845","Causal","Confounding bias","base_conf_meth","validity","VAL",TRUE,"No adjustment for baseline confounding was done",1
"STUDY-0845","Causal","Confounding bias","conf_var_det","validity","NA",TRUE,"No adjustment for baseline and time-varying confounding was done",0
"STUDY-0845","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0845","Causal","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0845","Causal","Missing data","miss_exposure","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0845","Causal","Mentioning errors","err_disc","reporting","OK",TRUE,"Random error;Confounding bias",0
"STUDY-0555","Causal","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0555","Causal","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0555","Causal","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0555","Causal","Selection bias","base_sel","validity","OK",TRUE,"Yes",0
"STUDY-0555","Causal","Selection bias","comp_dis","reporting","OK",TRUE,"Yes",0
"STUDY-0555","Causal","Selection bias","ltfu_bias","reporting","OK",TRUE,"Yes",0
"STUDY-0555","Causal","Selection bias","ltfu_acc","validity","OK",TRUE,"Yes",0
"STUDY-0555","Causal","Measurement bias","val_outcome","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0555","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0555","Causal","Measurement bias","diff_or_nondiff_out","validity","OK",TRUE,"Non-differential with respect to the exposure",0
"STUDY-0555","Causal","Measurement bias","val_exposure","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0555","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0555","Causal","Measurement bias","diff_or_nondiff_exp","validity","VAL",TRUE,"Differential with respect to the outcome",1
"STUDY-0555","Causal","Measurement bias","dep_or_indep_misc","validity","VAL",TRUE,"Dependent",1
"STUDY-0555","Causal","Confounding bias","base_conf_meth","validity","OK",TRUE,"Regression",0
"STUDY-0555","Causal","Confounding bias","conf_var_det","validity","VAL",TRUE,"Based on statistical criteria",0.6666667
"STUDY-0555","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0555","Causal","Missing data","miss_outcome","reporting","OK",TRUE,"Yes",0
"STUDY-0555","Causal","Missing data","hand_miss_outcom","validity","OK",TRUE,"Yes, multiple imputation",0
"STUDY-0555","Causal","Missing data","miss_exposure","reporting","OK",TRUE,"Yes",0
"STUDY-0555","Causal","Missing data","hand_miss_exposure","validity","OK",TRUE,"Yes, multiple imputation",0
"STUDY-0555","Causal","Mentioning errors","err_disc","reporting","OK",TRUE,"Measurement bias",0
"STUDY-0945","Causal","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0945","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0945","Causal","Measurement bias","val_outcome","validity","NA",TRUE,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",0
"STUDY-0945","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0945","Causal","Measurement bias","diff_or_nondiff_out","validity","OK",TRUE,"Non-differential with respect to the exposure",0
"STUDY-0945","Causal","Measurement bias","val_exposure","validity","OK",TRUE,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies",0
"STUDY-0945","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0945","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0945","Causal","Measurement bias","dep_or_indep_misc","validity","VAL",TRUE,"Dependent",1
"STUDY-0945","Causal","Confounding bias","base_conf_meth","validity","OK",TRUE,"Stratification;Regression",0
"STUDY-0945","Causal","Confounding bias","conf_var_det","validity","VAL",TRUE,"Based on previous literature",0.3333333
"STUDY-0945","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0945","Causal","Missing data","miss_outcome","reporting","OK",TRUE,"Yes",0
"STUDY-0945","Causal","Missing data","hand_miss_outcom","validity","VAL",TRUE,"No",1
"STUDY-0945","Causal","Missing data","miss_exposure","reporting","OK",TRUE,"Yes",0
"STUDY-0945","Causal","Missing data","hand_miss_exposure","validity","VAL",TRUE,"No",1
"STUDY-0945","Causal","Mentioning errors","err_disc","reporting","OK",TRUE,"Confounding bias",0
"STUDY-0365","Causal","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0365","Causal","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0365","Causal","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0365","Causal","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0365","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0365","Causal","Selection bias","ltfu_bias","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0365","Causal","Measurement bias","val_outcome","validity","NA",TRUE,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",0
"STUDY-0365","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0365","Causal","Measurement bias","diff_or_nondiff_out","validity","VAL",TRUE,"Differential with respect to the exposure",1
"STUDY-0365","Causal","Measurement bias","val_exposure","validity","VAL",TRUE,"No",1
"STUDY-0365","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0365","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0365","Causal","Measurement bias","dep_or_indep_misc","validity","VAL",TRUE,"Dependent",1
"STUDY-0365","Causal","Confounding bias","base_conf_meth","validity","OK",TRUE,"Regression",0
"STUDY-0365","Causal","Confounding bias","conf_var_det","validity","VAL",TRUE,"Based on none of the above",0.6666667
"STUDY-0365","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || skipped",0
"STUDY-0365","Causal","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0365","Causal","Missing data","miss_exposure","reporting","OK",TRUE,"No",0
"STUDY-0365","Causal","Mentioning errors","err_disc","reporting","OK",TRUE,"Selection bias;Measurement bias;Confounding bias",0
"STUDY-0023","Causal","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0023","Causal","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0023","Causal","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0023","Causal","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0023","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0023","Causal","Measurement bias","val_outcome","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0023","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0023","Causal","Measurement bias","diff_or_nondiff_out","validity","VAL",TRUE,"Differential with respect to the exposure",1
"STUDY-0023","Causal","Measurement bias","val_exposure","validity","NA",TRUE,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",0
"STUDY-0023","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0023","Causal","Measurement bias","diff_or_nondiff_exp","validity","OK",TRUE,"Non-differential with respect to the outcome",0
"STUDY-0023","Causal","Measurement bias","dep_or_indep_misc","validity","VAL",TRUE,"Dependent",1
"STUDY-0023","Causal","Confounding bias","base_conf_meth","validity","VAL",TRUE,"No adjustment for baseline confounding was done",1
"STUDY-0023","Causal","Confounding bias","conf_var_det","validity","NA",TRUE,"No adjustment for baseline and time-varying confounding was done",0
"STUDY-0023","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0023","Causal","Missing data","miss_outcome","reporting","OK",TRUE,"No",0
"STUDY-0023","Causal","Missing data","miss_exposure","reporting","OK",TRUE,"No",0
"STUDY-0023","Causal","Mentioning errors","err_disc","reporting","REP",TRUE,"None of the above",0
"STUDY-0817","Causal","Random error","sample_size","reporting","OK",TRUE,"Yes",0
"STUDY-0817","Causal","Random error","acc_sampl","validity","OK",TRUE,"Yes",0
"STUDY-0817","Causal","Random error","sample_ach","validity","OK",TRUE,"Yes",0
"STUDY-0817","Causal","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0817","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0817","Causal","Measurement bias","val_outcome","validity","OK",TRUE,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies",0
"STUDY-0817","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0817","Causal","Measurement bias","diff_or_nondiff_out","validity","OK",TRUE,"Non-differential with respect to the exposure",0
