PMID,funding_3level,funding_level_firstpass,three_level_basis,confidence,basis,declared_no_funding,self_funded,oa_agreement_only,statement_source,apc_only,funding_3level_machine,funding_6level_machine,adjudicated,changed
STUDY-0988,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0252,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0986,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0781,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0360,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0199,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-1003,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0062,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0525,funded,local,from local,medium,no funding section; funder named in the acknowledgement,0,0,0,,0,funded,local,0,0
STUDY-0351,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0630,not_stated,needs_review,from needs_review: statement present but states no research funding,low,statement present but no funder resolved,0,0,0,sentence,0,not_stated,needs_review,0,0
STUDY-0477,not_stated,needs_review,from needs_review: statement present but states no research funding,low,statement present but no funder resolved,0,0,0,sentence,0,not_stated,needs_review,0,0
STUDY-0335,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0096,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0032,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0778,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0878,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0864,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,financial_support,0,non_funded,declared_none,0,0
STUDY-0902,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0659,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,international,0,0
STUDY-0345,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0472,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0331,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0901,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0476,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-1010,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-1013,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0137,funded,local,from local,medium,no funding section; funder named in the acknowledgement,0,0,0,,0,funded,local,0,0
STUDY-0194,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,acknowledgements,0,funded,local,0,0
STUDY-0736,not_stated,needs_review,from needs_review: statement present but states no research funding,low,statement present but no funder resolved,0,0,0,sentence,0,not_stated,needs_review,0,0
STUDY-0312,not_stated,needs_review,from needs_review: statement present but states no research funding,low,statement present but no funder resolved,0,0,0,sentence,0,not_stated,needs_review,0,0
STUDY-0808,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,1,0
STUDY-0647,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,financial_support,0,funded,international,0,0
STUDY-0978,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,sentence,0,non_funded,declared_none,0,0
STUDY-0188,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0940,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0936,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0605,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0889,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0084,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-1024,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0415,non_funded,declared_none,from international,high,funder(s) named in the paper's own funding statement,1,0,0,funding,0,funded,international,1,1
STUDY-0426,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0824,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0974,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0422,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0679,funded,local,from local,medium,funder(s) named only outside a funding statement (acknowledgement/sentence),0,0,0,funding,0,funded,local,0,0
STUDY-0115,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0764,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,acknowledgements,0,funded,local,0,0
STUDY-0931,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0677,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0320,not_stated,needs_review,from needs_review: statement present but states no research funding,low,statement present but no funder resolved,0,0,0,sentence,0,not_stated,needs_review,0,0
STUDY-0110,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0280,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0434,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0237,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,financial_support,0,non_funded,declared_none,0,0
STUDY-0825,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0329,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0101,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0561,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0130,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0083,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0633,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0876,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0669,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0504,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0074,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0055,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0722,non_funded,declared_none,from declared_none,medium,no-funding declaration outside a funding heading,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0947,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0245,not_stated,not_stated,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,1,1
STUDY-0551,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0379,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0887,funded,local,from local,high,funder(s) named in the paper's own funding statement,1,0,0,funding,0,funded,local,0,0
STUDY-0695,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0762,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0823,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0536,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0910,non_funded,declared_none,from declared_none,low,funding statement explicitly declares no funding; a funder name appears elsewhere in the paper -- check,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0650,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0273,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0961,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0712,not_stated,not_stated,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,1,funded,local,1,1
STUDY-0609,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,sentence,0,non_funded,declared_none,0,0
STUDY-0976,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,source_of_support,0,non_funded,declared_none,0,0
STUDY-0282,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0867,not_stated,needs_review,from needs_review: statement present but states no research funding,low,statement present but no funder resolved,0,0,0,sentence,0,not_stated,needs_review,0,0
STUDY-0794,funded,both,from both,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,both,0,0
STUDY-0031,not_stated,not_stated,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,1,funded,local,1,1
STUDY-0829,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0875,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0443,funded,both,from both,medium,funder(s) named only outside a funding statement (acknowledgement/sentence),0,0,0,funding,0,funded,both,0,0
STUDY-0269,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0241,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,financial_support,0,non_funded,declared_none,0,0
STUDY-0336,not_stated,not_stated,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,1,1
STUDY-0812,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0567,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0232,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0125,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0648,funded,local,from declared_none,low,funding statement explicitly declares no funding; a funder name appears elsewhere in the paper -- check,1,0,0,funding,0,non_funded,declared_none,1,1
STUDY-0656,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0185,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0991,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0065,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0047,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0457,funded,local,from local,medium,funder(s) named only outside a funding statement (acknowledgement/sentence),0,0,0,funding,0,funded,local,0,0
STUDY-0186,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0713,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0710,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,financial_support,0,non_funded,declared_none,0,0
STUDY-0520,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0156,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0944,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0305,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0676,not_stated,not_stated,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,1,funded,local,1,1
STUDY-0927,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0906,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0883,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0501,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0868,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0183,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0053,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0981,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0102,funded,local,from local,medium,funder(s) named only outside a funding statement (acknowledgement/sentence),0,0,0,funding,0,funded,local,0,0
STUDY-0596,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,acknowledgements,0,funded,local,0,0
STUDY-0831,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0856,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0519,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0017,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0621,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0905,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0143,not_stated,needs_review,from needs_review: statement present but states no research funding,low,statement present but no funder resolved,0,0,0,sentence,0,not_stated,needs_review,0,0
STUDY-0644,funded,international,from international,medium,funder(s) named only outside a funding statement (acknowledgement/sentence),0,0,0,role_of_funding,0,funded,international,0,0
STUDY-0441,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0030,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0807,not_stated,not_stated,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,1,1
STUDY-0371,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0911,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,sentence,0,non_funded,declared_none,0,0
STUDY-0430,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0968,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,international,0,0
STUDY-0919,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0460,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0617,funded,international,from international,high,funder(s) named in the paper's own funding statement,1,0,0,funding,0,funded,international,0,0
STUDY-0847,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0674,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0299,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0271,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0580,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0425,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0982,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,sentence,0,non_funded,declared_none,0,0
STUDY-0783,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0466,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0228,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,international,0,0
STUDY-0708,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0380,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0893,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,sentence,0,non_funded,declared_none,0,0
STUDY-0196,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,acknowledgements,0,funded,local,0,0
STUDY-0437,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0566,not_stated,not_stated,from local,high,funder(s) named in the paper's own funding statement,0,0,0,acknowledgements,1,funded,local,1,1
STUDY-0928,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0099,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,acknowledgements,0,funded,local,0,0
STUDY-0202,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,financial_support,0,non_funded,declared_none,0,0
STUDY-0019,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0100,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
