PMID,Study_Type,first_author_saudi,last_author_saudi,corresponding_author_saudi,pct_saudi_ge50,causal_acc_sampl,causal_base_conf_meth,causal_base_sel,causal_comp_dis,causal_conf_var_det,causal_dep_or_indep_misc,causal_design,causal_diff_or_nondiff_exp,causal_diff_or_nondiff_out,causal_err_disc,causal_exp_bias_acc,causal_exposure_type,causal_follow,causal_hand_miss_exposure,causal_hand_miss_outcom,causal_ltfu_acc,causal_ltfu_bias,causal_miss_exposure,causal_miss_outcome,causal_out_bias_acc,causal_outcome_type,causal_pop,causal_sample_ach,causal_sample_size,causal_sampling,causal_time_verying,causal_tv_conf_meth,causal_val_exposure,causal_val_outcome,descriptive_acc_sampl,descriptive_base_sel,descriptive_confl_task,descriptive_design,descriptive_err_disc,descriptive_hand_miss_outcom,descriptive_miss_outcome,descriptive_out_bias_acc,descriptive_outcome_type,descriptive_pop,descriptive_sample_ach,descriptive_sample_size,descriptive_sampling,descriptive_val_outcome,predictive_design,predictive_pop,recusal,task
STUDY-0563,Predictive,0,1,0,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0144,Causal,1,1,1,>=50%,No,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Dependent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,No,,,,,Not reported or unknown,Not reported or unknown,No,Subjective,Yes,No,Yes,Random,No,,No,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0045,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No baseline selection bias from investigator,Yes,Cross-sectional,None of the above,,No,No,Objective,Yes,,,Whole population was invited (no sample was taken),"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0041,Predictive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,Yes,"No, I do not wish to recuse myself.",Predictive
STUDY-0418,Predictive,1,0,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prognostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0234,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,Cross-sectional,None of the above,,Not reported or unknown,No,Subjective,Yes,Yes,Yes,Non-random,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0275,Predictive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,Yes,"No, I do not wish to recuse myself.",Predictive
STUDY-0788,Causal,0,1,0,<50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Differential with respect to the exposure,Confounding bias,No,Objective,Yes,,,,Not reported or unknown,Not reported or unknown,Not reported or unknown,No,Objective,No,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0521,Causal,1,1,1,>=50%,,Matching;Regression;Propensity score,No baseline selection bias from investigator,,Based on statistical criteria,Dependent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Selection bias;Confounding bias,No,Objective,Yes,,No,,Not reported or unknown,No,Yes,No,Objective,Yes,,,Whole population was invited (no sample was taken),No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0346,Predictive,1,0,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0192,Causal,1,1,1,>=50%,No,Regression,No,No,Based on none of the above,Dependent,Cross-sectional,Differential with respect to the outcome,Differential with respect to the exposure,Selection bias;Measurement bias,No,Objective,No,,,,,No,No,No,Objective,Yes,Yes,Yes,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0049,Causal,0,1,0,>=50%,No,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Dependent,Cross-sectional,Non-differential with respect to the outcome,Differential with respect to the exposure,Selection bias;Measurement bias,No,Objective,No,,,,,Not reported or unknown,Not reported or unknown,No,Objective,No,Yes,Yes,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0012,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Cross-sectional,Selection bias;Measurement bias,No,Yes,No,Subjective,Yes,No,Yes,Non-random,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0171,Predictive,1,0,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0141,Causal,0,0,0,<50%,,Regression,No,No,Based on none of the above,Dependent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Selection bias;Measurement bias,No,Objective,No,No,No,,,Yes,Yes,No,Subjective,No,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0671,Causal,1,0,1,<50%,,Regression,No,No,Based on none of the above,Independent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Random error,No,Objective,Yes,,,,Not reported or unknown,No,No,No,Objective,No,,No,Non-random,No,,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies","This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0924,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,Cross-sectional,Selection bias;Measurement bias,,No,No,Objective,Yes,Yes,Yes,Random,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0182,Causal,1,1,0,>=50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Dependent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Subjective,No,,,,,Not reported or unknown,Not reported or unknown,No,Subjective,Yes,,No,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0597,Causal,1,0,1,<50%,,Regression,No,No,Based on statistical criteria,Independent,Cross-sectional,Non-differential with respect to the outcome,Differential with respect to the exposure,Confounding bias,No,Objective,No,,No,,,Not reported or unknown,Yes,No,Objective,No,,No,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0149,Causal,1,1,1,>=50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Case-control,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Random error;Missing data,No,Objective,No,,,,,No,No,No,Objective,Yes,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0256,Causal,1,1,1,>=50%,skipped,Regression,No,No,Based on none of the above,Independent,Pre/post,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Measurement bias;Confounding bias,No,Objective,Yes,,,,No,No,No,No,Objective,Yes,skipped,skipped,Whole population was invited (no sample was taken),No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0830,Predictive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0157,Causal,1,1,0,<50%,,Regression,No,No,Based on statistical criteria,Independent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Differential with respect to the exposure,Measurement bias,No,Objective,Yes,No,,,No,Yes,No,No,Objective,Yes,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0972,Causal,0,0,0,<50%,,Regression,No,No,Based on statistical criteria,Dependent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Measurement bias;Missing data,No,Objective,No,No,skipped,,,Yes,Not reported or unknown,No,Objective,Yes,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0766,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,Cross-sectional,Selection bias;measurement bias,,Not reported or unknown,No,Subjective,Yes,,No,Non-random,No,,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0552,Predictive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0257,Causal,1,1,1,>=50%,,Regression,No,No,Based on previous literature;Based on statistical criteria,Dependent,Cross-sectional,Differential with respect to the outcome,Differential with respect to the exposure,Random error;Measurement bias;Confounding bias,No,Objective,No,,,,,Not reported or unknown,Not reported or unknown,No,Subjective,Yes,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0819,Causal,0,0,0,<50%,,Regression,No,No,Based on statistical criteria,Dependent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Measurement bias,No,Objective,No,,,,,No,No,No,Subjective,No,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0611,Causal,0,1,0,>=50%,No,Regression,No,No,Based on none of the above,Independent,Cross-sectional,Differential with respect to the outcome,Differential with respect to the exposure,Selection bias;Measurement bias,No,Objective,No,,,,,No,Not reported or unknown,No,Subjective,Yes,Yes,Yes,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0942,Causal,1,0,0,<50%,No,Regression,No,No,Based on none of the above,Independent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Confounding bias,No,Objective,No,,,,,No,Not reported or unknown,No,Objective,No,Yes,Yes,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0492,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No baseline selection bias from investigator,Yes,Cross-sectional,None of the above,,No,No,Objective,Yes,,,Whole population was invited (no sample was taken),No,,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0739,Causal,0,0,0,<50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Dependent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Differential with respect to the exposure,None of the above,No,Objective,Yes,,,,Not reported or unknown,No,Not reported or unknown,No,Objective,No,,No,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted criterion validity or cited the criterion validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0306,Causal,1,0,0,>=50%,,Regression,No,No,Based on previous literature;Based on statistical criteria,Independent,Cohort (including clinical trials without randomization),Differential with respect to the outcome,Non-differential with respect to the exposure,Random error;Measurement bias,No,Objective,No,No,,,,Yes,Not reported or unknown,No,Objective,Yes,,,Whole population was invited (no sample was taken),No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0685,Predictive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,Yes,"No, I do not wish to recuse myself.",Predictive
STUDY-0112,Causal,1,1,1,>=50%,,Regression,No,No,Based on none of the above,Dependent,Cross-sectional,Non-differential with respect to the outcome,Differential with respect to the exposure,Measurement bias,No,Objective,No,,,,,Not reported or unknown,Not reported or unknown,No,Objective,Yes,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted criterion validity or cited the criterion validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0613,Causal,1,0,1,>=50%,,Matching,No,No,Based on none of the above,Independent,Case-control,Differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,No,,,,,Not reported or unknown,No,No,Objective,No,,No,Non-random,No,,No,No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0522,Causal,1,1,1,>=50%,No,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,No,,,,,Not reported or unknown,Not reported or unknown,No,Subjective,Yes,Yes,Yes,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0792,Causal,0,0,0,<50%,skipped,Randomization,No baseline selection bias from investigator,,No adjustment for baseline and time-varying confounding was done,Dependent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Differential with respect to the exposure,Measurement bias,No,Subjective,No,,,,,No,Not reported or unknown,No,Subjective,No,skipped,skipped,Whole population was invited (no sample was taken),No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0248,Causal,0,1,1,<50%,No,Randomization,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,Yes,,,,No,No,Not reported or unknown,No,Subjective,No,Yes,Yes,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0189,Causal,1,1,1,>=50%,No,Matching;Regression;Propensity score;Inverse probability of treatment weighting,No baseline selection bias from investigator,,Based on none of the above,Dependent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Selection bias;Measurement bias;Confounding bias,No,Objective,Yes,,skipped,,Not reported or unknown,No,No,No,Objective,Yes,Yes,Yes,Random,Yes,Matching;Propensity score;Inverse probability of treatment weighting,No,No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0701,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Cross-sectional,None of the above,,No,No,Objective,Yes,,No,Random,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0835,Predictive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0040,Causal,0,0,0,<50%,Yes,Randomization,No,No,Based on none of the above,Independent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Random error,No,Objective,Yes,,No,No,Yes,No,Yes,No,Objective,No,Yes,Yes,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted criterion validity or cited the criterion validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0402,Descriptive,0,1,1,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Cross-sectional,Random error;Measurement bias,,No,Yes,Objective,No,Yes,Yes,Non-random,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0239,Predictive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0977,Causal,1,0,0,<50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Differential with respect to the exposure,None of the above,No,Objective,Yes,,,,Not reported or unknown,No,Not reported or unknown,No,Objective,No,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0429,Causal,1,1,1,>=50%,Yes,Randomization;Regression,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Randomized clinical trial (including all types of randomized experiments),Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,Yes,,"Yes, single imputation with predicted value using regression",Yes,Yes,No,Yes,No,Subjective,Yes,Yes,Yes,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0589,Causal,0,0,0,<50%,,Regression,No,No,Based on previous literature,Independent,Case-control,Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,No,No,,,,Yes,No,No,Objective,No,,No,Non-random,No,,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0721,Predictive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prognostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0933,Causal,1,1,1,>=50%,,Regression,No,No,Based on none of the above,Dependent,Cross-sectional,Non-differential with respect to the outcome,Differential with respect to the exposure,Measurement bias,No,Objective,No,,,,,No,No,No,Objective,Yes,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0330,Causal,0,0,0,<50%,Yes,Regression,No,No,Based on none of the above,Dependent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Random error;Measurement bias,No,Objective,No,No,No,,,Yes,Yes,No,Subjective,No,Yes,Yes,Random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0922,Causal,0,0,0,<50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Random error;Measurement bias;Confounding bias;Missing data,No,Objective,No,,,,,Not reported or unknown,Not reported or unknown,No,Objective,No,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted criterion validity or cited the criterion validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0600,Causal,1,1,1,>=50%,No,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Dependent,Cross-sectional,Non-differential with respect to the outcome,Differential with respect to the exposure,Measurement bias,No,Subjective,No,"Yes, multiple imputation","Yes, multiple imputation",,,Yes,Yes,No,Subjective,Yes,Yes,Yes,Non-random,No,,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0119,Causal,0,0,0,<50%,,Matching,No,No,Based on none of the above,Independent,Case-control,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Confounding bias,No,Objective,No,,,,,Not reported or unknown,No,No,Objective,No,,No,Non-random,No,,No,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0251,Causal,1,1,1,>=50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Dependent,Cross-sectional,Differential with respect to the outcome,Non-differential with respect to the exposure,Selection bias;Measurement bias,No,Objective,No,,,,,No,No,No,Subjective,Yes,,No,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0932,Causal,1,0,1,<50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Cross-sectional,Differential with respect to the outcome,Non-differential with respect to the exposure,Selection bias;Measurement bias;Missing data,No,Objective,No,No,No,,,Yes,Yes,No,Subjective,Yes,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0749,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No baseline selection bias from investigator,No,Cohort,Random error;Selection bias,,Not reported or unknown,No,Objective,Yes,,,Whole population was invited (no sample was taken),"This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0517,Causal,1,1,1,>=50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Dependent,Cross-sectional,Differential with respect to the outcome,Differential with respect to the exposure,Measurement bias,No,Objective,No,,,,,No,No,No,Objective,Yes,,No,Non-random,No,,No,No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0210,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,Cross-sectional,Measurement bias,,Not reported or unknown,No,Subjective,Yes,,No,Non-random,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0923,Causal,1,1,1,>=50%,,Matching,No,No,Based on none of the above,Independent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Differential with respect to the exposure,Selection bias;Confounding bias,No,Objective,Yes,,,No,Yes,No,No,No,Objective,Yes,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0214,Causal,1,0,1,>=50%,,Regression,No baseline selection bias from investigator,,Based on none of the above,Independent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Selection bias;Measurement bias;Confounding bias;Missing data,No,Objective,No,,,,,No,No,No,Objective,Yes,,,Whole population was invited (no sample was taken),No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0565,Causal,1,1,1,>=50%,No,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Dependent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Random error;Selection bias;Measurement bias,No,Objective,No,,,,,Not reported or unknown,Not reported or unknown,No,Objective,Yes,Yes,Yes,Random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0899,Causal,0,0,0,<50%,No,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Dependent,Cross-sectional,Non-differential with respect to the outcome,Differential with respect to the exposure,None of the above,No,Objective,No,,,,,No,No,No,Objective,No,Yes,Yes,Non-random,No,,No,No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0094,Causal,0,0,0,<50%,,Regression,No,No,Based on none of the above,Dependent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Selection bias;Measurement bias,No,Objective,No,,,,,No,No,No,Subjective,No,,No,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0809,Causal,1,0,1,>=50%,No,Regression,No,No,Based on none of the above,Dependent,Cross-sectional,Differential with respect to the outcome,Differential with respect to the exposure,None of the above,No,Subjective,No,,,,,Not reported or unknown,Not reported or unknown,No,Subjective,No,No,Yes,Non-random,No,,No,No,,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0793,Causal,1,0,1,>=50%,No,Restriction;Regression,No,No,Based on none of the above,Independent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,Yes,,No,No,Yes,No,Yes,No,Objective,No,Yes,Yes,Non-random,No,,No,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0627,Predictive,0,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prognostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0126,Predictive,1,0,1,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0387,Descriptive,1,0,1,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Cross-sectional,None of the above,,Not reported or unknown,No,Subjective,No,Yes,Yes,Non-random,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
